artist,country,city,latitude,longitude,address
Evergreen,United States,Anaheim,33.8347516,-117.911732,"Anaheim, Orange County, California, United States"
No Doubt,United States,Anaheim,33.8347516,-117.911732,"Anaheim, Orange County, California, United States"
New Years Day,United States,Anaheim,33.8347516,-117.911732,"Anaheim, Orange County, California, United States"
Morgion,United States,Anaheim,33.8347516,-117.911732,"Anaheim, Orange County, California, United States"
Buckcherry,United States,Anaheim,33.8347516,-117.911732,"Anaheim, Orange County, California, United States"
36 Crazyfists,United States,Anchorage,61.2163129,-149.894852,"Anchorage, Alaska, United States"
Joan Osborne,United States,Anchorage,38.2665993,-85.5330114,"Anchorage, Jefferson County, Kentucky, United States"
The Ataris,United States,Anderson,40.1053196,-85.6802541,"Anderson, Madison County, Indiana, United States"
Boys Like Girls,United States,Andover,42.65717,-71.1408776,"Andover, Essex County, Massachusetts, United States"
Piebald,United States,Andover,42.65717,-71.1408776,"Andover, Essex County, Massachusetts, United States"
Cenotaph,Türkiye,Ankara,39.9207759,32.8540497,"Ankara, Çankaya, Ankara, İç Anadolu Bölgesi, 06420, Türkiye"
Supercontinent,United States,Ann Arbor,42.2813722,-83.7484616,"Ann Arbor, Washtenaw County, Michigan, United States"
Laughing Hyenas,United States,Ann Arbor,42.2813722,-83.7484616,"Ann Arbor, Washtenaw County, Michigan, United States"
Taproot,United States,Ann Arbor,42.2813722,-83.7484616,"Ann Arbor, Washtenaw County, Michigan, United States"
The Stooges,United States,Ann Arbor,42.2813722,-83.7484616,"Ann Arbor, Washtenaw County, Michigan, United States"
Tally Hall,United States,Ann Arbor,42.2813722,-83.7484616,"Ann Arbor, Washtenaw County, Michigan, United States"
Andrew W.K.,United States,Ann Arbor,42.2813722,-83.7484616,"Ann Arbor, Washtenaw County, Michigan, United States"
Iggy Pop,United States,Ann Arbor,42.2813722,-83.7484616,"Ann Arbor, Washtenaw County, Michigan, United States"
PWR BTTM,United States,Annandale-on-Hudson,42.0128695,-73.9081901,"Annandale-on-Hudson, Town of Red Hook, Dutchess County, New York, 12504, United States"
Steely Dan,United States,Annandale-on-Hudson,42.0128695,-73.9081901,"Annandale-on-Hudson, Town of Red Hook, Dutchess County, New York, 12504, United States"
Jimmie's Chicken Shack,United States,Annapolis,38.9786401,-76.492786,"Annapolis, Anne Arundel County, Maryland, United States"
Moss Icon,United States,Annapolis,38.9786401,-76.492786,"Annapolis, Anne Arundel County, Maryland, United States"
Molly,United Kingdom,Anstey,52.6731584,-1.195796580802836,"Anstey, Charnwood, Leicestershire, England, United Kingdom"
Slick Shoes,United States,Antelope Valley,34.915437,-118.0055620731188,"Antelope Valley, California, United States"
M83,France,Antibes,43.5812868,7.1262071,"Antibes, Grasse, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, France"
Sadus,United States,Antioch,38.0049214,-121.805789,"Antioch, Contra Costa County, California, United States"
dEUS,België / Belgique / Belgien,Antwerp,51.2211097,4.3997081,"Antwerpen, Vlaanderen, België / Belgique / Belgien"
Jeff Loomis,United States,Appleton,44.2613967,-88.4069744,"Appleton, Outagamie County, Wisconsin, United States"
Vinterriket,Deutschland,Aquisgrán,50.776351,6.083862,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland"
David Byrne,United States,Arbutus,39.24034445,-76.69140064069009,"Arbutus, Relay, Baltimore County, Maryland, United States"
Ash Borer,United States,Arcata,40.866517,-124.08284,"Arcata, Humboldt County, California, 95521, United States"
Six Organs Of Admittance,United States,Arcata,40.866517,-124.08284,"Arcata, Humboldt County, California, 95521, United States"
Catacombs,United States,Arizona,34.395342,-111.763275,"Arizona, United States"
Pantera,United States,Arlington,32.7355816,-97.1071186,"Arlington, Tarrant County, Texas, United States"
Gammacide,United States,Arlington,32.7355816,-97.1071186,"Arlington, Tarrant County, Texas, United States"
The Famine,United States,Arlington,32.7355816,-97.1071186,"Arlington, Tarrant County, Texas, United States"
Powerglove,United States,Arlington,42.4153739,-71.1564428,"Arlington, Middlesex County, Massachusetts, United States"
Barcelona,United States,Arlington,38.8769326,-77.0893094,"Arlington County, Virginia, United States"
Embodyment,United States,Arlington,32.7355816,-97.1071186,"Arlington, Tarrant County, Texas, United States"
Rebel Meets Rebel,United States,Arlington,32.7355816,-97.1071186,"Arlington, Tarrant County, Texas, United States"
Rachael Yamagata,United States,Arlington,38.8769326,-77.0893094,"Arlington County, Virginia, United States"
Deceased,United States,Arlington,38.8769326,-77.0893094,"Arlington County, Virginia, United States"
Solitude Aeturnus,United States,Arlington,32.7355816,-97.1071186,"Arlington, Tarrant County, Texas, United States"
Enforcer,Sverige,Arvika,59.766667,12.65,"Arvika kommun, Värmlands län, Sverige"
Athletics,United States,Asbury Park,40.2203907,-74.0120817,"Asbury Park, Monmouth County, New Jersey, 07711, United States"
The Parlor Mob,United States,Asbury Park,40.2203907,-74.0120817,"Asbury Park, Monmouth County, New Jersey, 07711, United States"
Sanctity,United States,Asheville,35.595363,-82.5508407,"Asheville, Buncombe County, North Carolina, United States"
Daylight Dies,United States,Asheville,35.595363,-82.5508407,"Asheville, Buncombe County, North Carolina, United States"
MJ Lenderman,United States,Asheville,35.595363,-82.5508407,"Asheville, Buncombe County, North Carolina, United States"
Wednesday,United States,Asheville,35.595363,-82.5508407,"Asheville, Buncombe County, North Carolina, United States"
Bossk,United Kingdom,Ashford,51.148555,0.8722566,"Ashford, Kent, England, United Kingdom"
Mysticum,Norge,Asker,59.68126025,10.47483598845985,"Asker, Akershus, Norge"
Blind Pilot,United States,Astoria,46.1882007,-123.8319802,"Astoria, Clatsop County, Oregon, 97103, United States"
Leeway,United States,Astoria,40.7720145,-73.9302673,"Astoria, Queens, Queens County, City of New York, New York, 11102, United States"
Grouper,United States,Astoria,46.1882007,-123.8319802,"Astoria, Clatsop County, Oregon, 97103, United States"
Socrates Drank the Conium,Ελλάς,Athens,37.9755648,23.7348324,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 57, Ελλάς"
Theocracy,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States"
Maserati,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States"
Azure Ray,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States"
Dead Congregation,Ελλάς,Athens,37.9755648,23.7348324,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 57, Ελλάς"
R.E.M.,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States"
Elf Power,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States"
Drive-By Truckers,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States"
Bio-Cancer,Ελλάς,Athens,37.9755648,23.7348324,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 57, Ελλάς"
The Whigs,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States"
Mothers,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States"
Nana Grizol,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States"
Reptar,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States"
Cinemechanica,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States"
Bambara,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States"
Thou Art Lord,Ελλάς,Athens,37.9755648,23.7348324,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 57, Ελλάς"
Harvey Milk,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States"
Six Gallery,United States,Athens,39.355589,-82.0610404,"Athens County, Ohio, United States"
Pylon,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States"
Widespread Panic,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States"
