artist,country,city,latitude,longitude,address,state,state_pop
As I Lay Dying,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Assassin,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Astra,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Austrian Death Machine,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Author and Punisher,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Box Car Racer,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Burning The Masses,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Cattle Decapitation,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Cephalotripsy,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Clikatat Ikatowi,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Crocodiles,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Delta Spirit,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Destroy the Runner,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Disgorge,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Drive Like Jehu,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Earthless,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Element,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Etched In Red,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Fight Fair,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Future of Forestry,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Gonjasufi,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Hot Snakes,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
In Fear and Faith,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Iron Butterfly,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Jim Sullivan,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Julia,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Lewd Acts,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Louis XIV,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Lower Definition,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Malady,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
My American Heart,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
No Knife,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
P.O.D.,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Pathology,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Peeping Tom,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Pierce the Veil,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Pinback,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Pitchfork,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Rocket From The Crypt,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Sever Your Ties,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Sleeping People,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Slightly Stoopid,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Some Girls,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Stone Temple Pilots,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Switchfoot,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
The Album Leaf,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
The Beautiful Mistake,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
The Black Heart Procession,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
The God Machine,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
The Locust,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
The Soft Pack,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Tristeza,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Underminded,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Waking Ashland,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Wavves,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Weatherbox,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States",California,29950111
Unbroken,United States,San Diego County,32.9637838,-116.7706277,"San Diego County, California, United States",California,29950111
Jenny Lewis,United States,San Fernando Valley,34.2148853,-118.4998204,"San Fernando Valley, Los Angeles, Los Angeles County, California, 91329, United States",California,29950111
The Dickies,United States,San Fernando Valley,34.2148853,-118.4998204,"San Fernando Valley, Los Angeles, Los Angeles County, California, 91329, United States",California,29950111
4 Non Blondes,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
A Minor Forest,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Acid King,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Airs,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
American Music Club,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Animosity,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Barn Owl,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Beulah,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Big Brother And The Holding Company,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Black Cobra,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Black Rebel Motorcycle Club,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Blackbird Blackbird,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Blue Cheer,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Bosse-de-Nage,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Brocas Helm,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Cacophony,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Chrome,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Cormorant,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Dead Kennedys,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Dead to Me,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Deerhoof,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Early Graves,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Facing New York,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Faith No More,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Fifty Foot Hose,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Film School,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
First Blood,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Flipper,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
From Monument To Masses,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Girls,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Gratitude,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Grayceon,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Grotus,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Halou,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Hammers Of Misfortune,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Heathen,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Huey Lewis and the News,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Insanity,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
It's a Beautiful Day,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Jefferson Airplane,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Jefferson Starship,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Jellyfish,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Jerry Garcia,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Journey,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Karate High School,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Karl Sanders,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Laaz Rockit,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Leviathan,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Life Long Tragedy,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Light This City,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Loma Prieta,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Ludicra,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Lurker Of Chalice,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
MD.45,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Mamaleek,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Me First and the Gimme Gimmes,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Metal Church,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Minimal Man,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Moby Grape,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Mordred,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Night Ranger,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Odious Mortem,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Om,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Oxbow,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Psyclon Nine,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Punch,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Quicksilver Messenger Service,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Santana,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Secret Chiefs 3,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Set Your Goals,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Severed Savior,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Starship,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Steve Miller Band,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Sun Kil Moon,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Sweet Trip,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Takaru,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Tarentel,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
The Beau Brummels,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
The Brian Jonestown Massacre,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
The Dodos,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
The Drift,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
The Limousines,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
The Tubes,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Third Eye Blind,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Train,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Trifonic,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Tuxedomoon,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Two Gallants,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Weakling,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
Weekend,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
ee,United States,San Francisco,37.7792588,-122.4193286,"San Francisco, California, United States",California,29950111
