year,artist,title,album_length,tracks,subgenre,style
1978,Cheap Trick,Cheap Trick At Budokan,41.63,10,metal,Hard Rock
1978,Cheap Trick,Heaven Tonight,43.65,11,classic,Classic Rock
1978,Cheap Trick,Heaven Tonight,43.65,11,indie,Pop Rock
1979,Cheap Trick,Dream Police,45.9,9,indie,Pop Rock
1980,Cheap Trick,All Shook Up,33.95,10,indie,Pop Rock
1982,Cheap Trick,One on One,34.53,11,classic,Classic Rock
1982,Cheap Trick,One on One,34.53,11,metal,Hard Rock
1985,Cheap Trick,Standing on the Edge,39.7,10,metal,Hard Rock
1986,Cheap Trick,The Doctor,39.58,10,indie,Pop Rock
1986,Cheap Trick,The Doctor,39.58,10,roots,Soft Rock
1988,Cheap Trick,Lap of Luxury,41.87,10,indie,Pop Rock
1994,Cheap Trick,Woke Up With A Monster,48.55,11,indie,Pop Rock
1997,Cheap Trick,Cheap Trick,40.37,11,indie,Pop Rock
2006,Chelsea Wolfe,Mistake In Parting,46.37,10,indie,Alternative Rock
2006,Chelsea Wolfe,Mistake In Parting,46.37,10,roots,Folk Rock
1989,Cher,Heart of Stone,48.28,12,indie,Pop Rock
1989,Cher,Heart of Stone,48.28,12,roots,Soft Rock
1992,Cherubs,Icing,35.8,10,punk,Punk
1994,Cherubs,Heroin Man,50.43,13,punk,Punk
1999,Chevelle,Point #1,42.5,11,metal,Hard Rock
2004,Chevelle,This Type of Thinking (Could Do Us In),46.48,11,metal,Nu Metal
2009,Chevelle,Sci-Fi Crimes,43.48,11,metal,Nu Metal
1969,Chicago,Chicago Transit Authority,77.72,12,classic,Psychedelic Rock
1969,Chicago,Chicago Transit Authority,77.72,12,roots,Blues Rock
1971,Chicago,Chicago III,71.08,26,classic,Psychedelic Rock
1971,Chicago,Chicago III,71.08,26,indie,Pop Rock
1971,Chicago,Chicago III,71.08,26,roots,Blues Rock
1972,Chicago,Chicago V,45.17,10,classic,Classic Rock
1972,Chicago,Chicago V,45.17,10,indie,Pop Rock
1973,Chicago,Chicago VI,38.5,10,classic,Classic Rock
1973,Chicago,Chicago VI,38.5,10,indie,Pop Rock
1974,Chicago,Chicago VII,72.32,15,indie,Pop Rock
1974,Chicago,Chicago VII,72.32,15,roots,Soft Rock
1976,Chicago,Chicago X,46.24,11,classic,Classic Rock
1976,Chicago,Chicago X,46.24,11,roots,Soft Rock
1977,Chicago,Chicago XI,52.0,11,indie,Pop Rock
1977,Chicago,Chicago XI,52.0,11,roots,Blues Rock
1984,Chicago,Chicago 17,41.07,10,indie,Pop Rock
1984,Chicago,Chicago 17,41.07,10,roots,Soft Rock
2001,Chimaira,Pass Out of Existence,62.4,14,metal,Nu Metal
2003,Chimaira,The Impossibility of Reason,58.95,12,metal,Heavy Metal
2005,Chimaira,Chimaira,59.0,10,metal,Metalcore
2007,Chimaira,Resurrection,51.75,11,metal,Metalcore
2007,Chimaira,Resurrection,51.75,11,metal,Thrash
2009,Chimaira,The Infection,53.65,10,metal,Heavy Metal
2010,Chimaira,Coming Alive,79.58,20,metal,Heavy Metal
2010,Chimp Spanner,At the Dream's Edge,60.78,13,metal,Progressive Metal
2005,Chiodos,All's Well That Ends Well,42.3,13,indie,Alternative Rock
2005,Chiodos,All's Well That Ends Well,42.3,13,punk,Post-Hardcore
2007,Chiodos,Bone Palace Ballet,38.57,10,indie,Alternative Rock
2007,Chiodos,Bone Palace Ballet,38.57,10,indie,Emo
2010,Chiodos,Illuminaudio,47.05,12,indie,Alternative Rock
2010,Chiodos,Illuminaudio,47.05,12,punk,Post-Hardcore
1996,Chokebore,A Taste For Bitters,59.97,13,indie,Indie Rock
1992,Chris Bell,I Am The Cosmos,54.23,15,roots,Folk Rock
1999,Chris Cornell,Euphoria Morning,50.6,12,indie,Alternative Rock
1999,Chris Cornell,Euphoria Morning,50.6,12,metal,Hard Rock
2007,Chris Cornell,Carry On,54.83,14,indie,Alternative Rock
2009,Chris Cornell,Scream,64.43,14,indie,Pop Rock
1987,Chris Isaak,Chris Isaak,36.08,11,roots,Blues Rock
1989,Chris Isaak,Heart Shaped World,45.75,11,roots,Rock & Roll
1995,Chris Isaak,Forever Blue,39.77,13,indie,Pop Rock
1989,Chris Rea,The Road To Hell,50.63,10,indie,Pop Rock
1989,Chris Rea,The Road To Hell,50.63,10,roots,Blues Rock
1989,Chris Rea,The Road To Hell,50.63,10,roots,Country Rock
1989,Chris Rea,The Road To Hell,50.63,10,roots,Soft Rock
1975,Chris Squire,Fish Out of Water,42.23,5,classic,Art Rock
1975,Chris Squire,Fish Out of Water,42.23,5,classic,Prog Rock
1979,Christopher Cross,Christopher Cross,38.53,9,indie,Pop Rock
1977,Chrome,Alien Soundtracks,38.35,10,punk,Punk
1979,Chrome,Half Machine Lip Moves,35.55,11,punk,Post-Punk
1980,Chrome,Red Exposure,34.62,10,punk,Post-Punk
2004,Chronic Future,Lines in My Face,50.22,12,indie,Alternative Rock
1964,Chuck Berry,St. Louis to Liverpool,30.87,12,roots,Rock & Roll
1987,Chumbawamba,Never Mind The Ballots,35.58,8,punk,Punk
1994,Chumbawamba,Anarchy,40.18,15,indie,Pop Rock
1994,Chumbawamba,Anarchy,40.18,15,punk,Punk
1994,Chumbawamba,Anarchy,40.18,15,roots,Folk Rock
1997,Chumbawamba,Tubthumper,55.12,12,indie,Pop Rock
1997,Chumbawamba,Tubthumper,55.12,12,punk,Punk
1997,Chumbawamba,Tubthumper,55.12,12,roots,Folk Rock
2000,Chumbawamba,WYSIWYG,47.8,22,indie,Pop Rock
2000,Chumbawamba,WYSIWYG,47.8,22,punk,Punk
2000,Chumbawamba,WYSIWYG,47.8,22,roots,Folk Rock
1992,Cianide,The Dying Truth,41.0,8,metal,Death Metal
1992,Cianide,The Dying Truth,41.0,8,metal,Doom Metal
1994,Cianide,A Descent into Hell,40.52,8,metal,Death Metal
1994,Cianide,A Descent into Hell,40.52,8,metal,Doom Metal
1989,Ciccone Youth,The Whitey Album,47.93,16,indie,Alternative Rock
1986,Cinderella,Night Songs,36.02,10,metal,Heavy Metal
1988,Cinderella,Long Cold Winter,43.85,10,metal,Hard Rock
1990,Cinderella,Heartbreak Station,53.7,11,metal,Hard Rock
1990,Cinderella,Heartbreak Station,53.7,11,roots,Blues Rock
1990,Cinderella,Heartbreak Station,53.7,11,roots,Southern Rock
1994,Cinderella,Still Climbing,53.45,11,metal,Hard Rock
1994,Cinderella,Still Climbing,53.45,11,roots,Blues Rock
2006,Cinemechanica,The Martial Arts,31.21,9,indie,Indie Rock
2005,Circa Survive,Juturna,52.43,13,classic,Prog Rock
2005,Circa Survive,Juturna,52.43,13,indie,Emo
2005,Circa Survive,Juturna,52.43,13,punk,Post-Hardcore
2007,Circa Survive,On Letting Go,45.6,12,classic,Prog Rock
2007,Circa Survive,On Letting Go,45.6,12,indie,Emo
2007,Circa Survive,On Letting Go,45.6,12,indie,Indie Rock
2010,Circa Survive,Blue Sky Noise,49.93,12,classic,Prog Rock
2010,Circa Survive,Blue Sky Noise,49.93,12,indie,Indie Rock
1980,Circle Jerks,Group Sex,15.0,14,punk,Hardcore
1980,Circle Jerks,Group Sex,15.0,14,punk,Punk
1982,Circle Jerks,Wild in the Streets,25.28,15,punk,Hardcore
1982,Circle Jerks,Wild in the Streets,25.28,15,punk,Punk
1983,Circle Jerks,Golden Shower of Hits,26.52,12,punk,Punk
1987,Circle Jerks,VI,29.35,13,punk,Hardcore
1987,Circle Jerks,VI,29.35,13,punk,Punk
1995,Circle Jerks,"Oddities, Abnormalities and Curiosities",34.32,12,punk,Punk
2004,Circle Takes the Square,As the Roots Undo,44.07,8,indie,Emo
2004,Circle Takes the Square,As the Roots Undo,44.07,8,punk,Hardcore
2004,Circle Takes the Square,As the Roots Undo,44.07,8,punk,Punk
1994,Circle of Dust,Brainchild,51.63,10,metal,Heavy Metal
2001,Circulatory System,Circulatory System,57.88,22,classic,Psychedelic Rock
2001,Circulatory System,Circulatory System,57.88,22,indie,Indie Rock
2001,Circulatory System,Circulatory System,57.88,22,indie,Pop Rock
2009,Circulatory System,Signal Morning,46.47,17,classic,Psychedelic Rock
2009,Circulatory System,Signal Morning,46.47,17,indie,Indie Rock
2009,Circulatory System,Signal Morning,46.47,17,indie,Pop Rock
1992,Circus Lupus,Super Genius,42.08,10,classic,Art Rock
1992,Circus Lupus,Super Genius,42.08,10,punk,Post-Punk
1992,Circus Lupus,Super Genius,42.08,10,punk,Punk
2003,Cire,Adrenological,55.07,12,classic,Prog Rock
2003,Cire,Adrenological,55.07,12,indie,Alternative Rock
1981,Cirith Ungol,Frost and Fire,30.5,7,metal,Heavy Metal
1984,Cirith Ungol,King of the Dead,45.48,8,metal,Heavy Metal
1986,Cirith Ungol,One Foot in Hell,35.6,8,metal,Doom Metal
1986,Cirith Ungol,One Foot in Hell,35.6,8,metal,Heavy Metal
1991,Cirith Ungol,Paradise Lost,48.48,9,metal,Heavy Metal
2007,City Sleeps,Not An Angel,36.98,12,indie,Alternative Rock
2002,City of Caterpillar,City of Caterpillar,44.15,7,indie,Emo
2002,City of Caterpillar,City of Caterpillar,44.15,7,punk,Hardcore
2009,City of Ships,Look What God Did To Us,39.47,10,classic,Prog Rock
2009,City of Ships,Look What God Did To Us,39.47,10,indie,Emo
2009,City of Ships,Look What God Did To Us,39.47,10,indie,Post Rock
2009,City of Ships,Look What God Did To Us,39.47,10,punk,Hardcore
2005,Clap Your Hands Say Yeah,Clap Your Hands Say Yeah,38.67,12,indie,Indie Rock
2007,Clap Your Hands Say Yeah,Some Loud Thunder,46.8,11,indie,Indie Rock
1996,Clikatat Ikatowi,Orchestrated and Conducted By,29.75,9,punk,Hardcore
2008,Clinging to the Trees of a Forest Fire,Omega Drunk on the Blood of Alpha,25.3,10,punk,Hardcore
2010,Clinging to the Trees of a Forest Fire,Songs of Ill Hope and Desperation,33.18,13,punk,Hardcore
2000,Clinic,Internal Wrangler,31.02,13,indie,Indie Rock
2001,Clinic,Walking With Thee,37.7,11,indie,Alternative Rock
2001,Clinic,Walking With Thee,37.7,11,indie,Indie Rock
2001,Clinic,Walking With Thee,37.7,11,punk,Punk
1981,Clock DVA,Thirst,44.18,9,punk,Post-Punk
1983,Clock DVA,Advantage,39.07,8,indie,New Wave
1983,Clock DVA,Advantage,39.07,8,punk,Post-Punk
2010,Close Your Eyes,We Will Overcome,39.87,11,punk,Hardcore
2010,Close Your Eyes,We Will Overcome,39.87,11,punk,Punk
2005,Cloud Cult,Advice from the Happy Hippopotamus,64.65,25,indie,Indie Rock
2007,Cloud Cult,The Meaning of 8,64.25,19,indie,Indie Rock
2010,Cloud Rat,Cloud Rat,17.61,11,punk,Hardcore
2010,Cloud Rat,Cloud Rat,17.61,11,punk,Punk
2008,Cloudkicker,The Discovery,39.8,10,classic,Prog Rock
2008,Cloudkicker,The Discovery,39.8,10,metal,Heavy Metal
2010,Cloudkicker,Beacons,43.88,11,classic,Prog Rock
2010,Cloudkicker,Beacons,43.88,11,indie,Post Rock
2010,Cloudkicker,Beacons,43.88,11,metal,Heavy Metal
1984,Cloven Hoof,Cloven Hoof,36.45,7,metal,Heavy Metal
1988,Cloven Hoof,Dominator,40.18,10,metal,Heavy Metal
1989,Cloven Hoof,A Sultan's Ransom,44.13,10,metal,Heavy Metal
1995,Clutch,Clutch,55.07,13,indie,Alternative Rock
1995,Clutch,Clutch,55.07,13,metal,Hard Rock
1995,Clutch,Clutch,55.07,13,metal,Stoner Rock
1998,Clutch,The Elephant Riders,50.98,12,indie,Alternative Rock
1998,Clutch,The Elephant Riders,50.98,12,metal,Hard Rock
1999,Clutch,Jam Room,35.13,12,metal,Hard Rock
1999,Clutch,Jam Room,35.13,12,metal,Stoner Rock
1999,Clutch,Jam Room,35.13,12,roots,Blues Rock
2001,Clutch,Pure Rock Fury,61.42,13,metal,Hard Rock
2001,Clutch,Pure Rock Fury,61.42,13,metal,Stoner Rock
2004,Clutch,Blast Tyrant,54.53,15,metal,Hard Rock
2005,Clutch,Robot Hive / Exodus,54.63,14,indie,Alternative Rock
2005,Clutch,Robot Hive / Exodus,54.63,14,metal,Hard Rock
2007,Clutch,From Beale Street To Oblivion,48.22,12,indie,Alternative Rock
2007,Clutch,From Beale Street To Oblivion,48.22,12,metal,Hard Rock
2009,Clutch,Strange Cousins From The West,48.87,11,metal,Hard Rock
1997,Coal Chamber,Coal Chamber,49.33,16,indie,Alternative Rock
1997,Coal Chamber,Coal Chamber,49.33,16,metal,Hard Rock
1997,Coal Chamber,Coal Chamber,49.33,16,metal,Nu Metal
1997,Coal Chamber,Coal Chamber,49.33,16,punk,Hardcore
1999,Coal Chamber,Chamber Music,55.1,16,metal,Nu Metal
2002,Coal Chamber,Dark Days,41.27,12,metal,Nu Metal
1997,Coalesce,Give Them Rope,40.77,11,punk,Hardcore
1998,Coalesce,Functioning on Impatience,20.16,7,punk,Hardcore
1999,Coalesce,0:12 Revolution in Just Listening,23.77,9,metal,Metalcore
1999,Coalesce,There Is Nothing New Under the Sun,28.37,7,metal,Metalcore
1999,Coalesce,There Is Nothing New Under the Sun,28.37,7,punk,Hardcore
2009,Coalesce,OX,35.88,14,metal,Metalcore
2009,Coalesce,OX,35.88,14,punk,Hardcore
2007,Cobra Starship,¡Viva La Cobra!,36.97,11,indie,Emo
2007,Cobra Starship,¡Viva La Cobra!,36.97,11,indie,New Wave
2007,Cobra Starship,¡Viva La Cobra!,36.97,11,indie,Pop Rock
2009,Cobra Starship,Hot Mess,37.33,11,indie,Pop Rock
2009,Cobra Starship,Hot Mess,37.33,11,punk,Punk
1983,Cock Sparrer,Shock Troops,37.62,10,punk,Punk
2010,CocoRosie,Grey Oceans,46.92,11,classic,Art Rock
2007,Coconut Records,Nighttiming,55.2,27,indie,Indie Rock
2009,Coconut Records,Davy,48.25,24,indie,Indie Rock
2009,Coconut Records,Davy,48.25,24,indie,Pop Rock
1982,Cocteau Twins,Garlands,35.43,10,punk,Post-Punk
1983,Cocteau Twins,Head Over Heels,37.08,12,classic,Art Rock
1984,Cocteau Twins,Treasure,41.43,10,indie,New Wave
1984,Cocteau Twins,Treasure,41.43,10,punk,Post-Punk
1988,Cocteau Twins,Blue Bell Knoll,35.02,10,indie,Indie Rock
2009,Code,Resplendent Grotesque,34.92,8,metal,Black Metal
1994,Codeine,The White Birch,43.07,9,indie,Indie Rock
1999,Codeseven,Division of Labor,37.2,6,punk,Hardcore
2002,Codeseven,The Rescue,36.85,8,indie,Alternative Rock
2002,Codeseven,The Rescue,36.85,8,indie,Emo
2002,Codeseven,The Rescue,36.85,8,indie,Indie Rock
2004,Codeseven,Dancing Echoes / Dead Sounds,41.18,12,indie,Alternative Rock
2004,Codeseven,Dancing Echoes / Dead Sounds,41.18,12,indie,Emo
2004,Codeseven,Dancing Echoes / Dead Sounds,41.18,12,indie,Indie Rock
2010,Coffinworm,When All Became None,43.18,6,metal,Black Metal
2010,Coffinworm,When All Became None,43.18,6,metal,Doom Metal
2002,Coheed and Cambria,The Second Stage Turbine Blade,55.62,11,classic,Prog Rock
2002,Coheed and Cambria,The Second Stage Turbine Blade,55.62,11,indie,Alternative Rock
2002,Coheed and Cambria,The Second Stage Turbine Blade,55.62,11,indie,Emo
2003,Coheed and Cambria,In Keeping Secrets of Silent Earth: 3,70.7,23,indie,Alternative Rock
2003,Coheed and Cambria,In Keeping Secrets of Silent Earth: 3,70.7,23,indie,Emo
2003,Coheed and Cambria,In Keeping Secrets of Silent Earth: 3,70.7,23,punk,Post-Hardcore
2010,Coheed and Cambria,Year of the Black Rainbow,53.87,12,classic,Prog Rock
2009,Coke Bust,Lines In The Sand,18.25,17,punk,Hardcore
2009,Coke Bust,Lines In The Sand,18.25,17,punk,Punk
2009,Colbie Caillat,Breakthrough,49.42,12,indie,Pop Rock
1998,Cold,Cold,49.43,11,indie,Alternative Rock
1998,Cold,Cold,49.43,11,metal,Nu Metal
1998,Cold,Cold,49.43,11,punk,Grunge
2000,Cold,13 Ways to Bleed On Stage,48.53,13,indie,Alternative Rock
2003,Cold,Year Of The Spider,63.87,15,indie,Alternative Rock
2005,Cold,A Different Kind of Pain,42.7,11,indie,Alternative Rock
1999,Cold As Life,Born To Land Hard,44.23,13,punk,Hardcore
1999,Cold As Life,Born To Land Hard,44.23,13,punk,Punk
2006,Cold War Kids,Robbers and Cowards,52.87,12,classic,Art Rock
2006,Cold War Kids,Robbers and Cowards,52.87,12,indie,Indie Rock
2006,Cold War Kids,Robbers and Cowards,52.87,12,punk,Garage Rock
2008,Cold War Kids,Loyalty to Loyalty,46.77,13,indie,Indie Rock
2008,Cold War Kids,Loyalty to Loyalty,46.77,13,roots,Blues Rock
2008,Cold World,Dedicated To Babies Who Came Feet First,30.26,15,punk,Hardcore
2000,Coldplay,Parachutes,41.52,11,indie,Alternative Rock
2000,Coldplay,Parachutes,41.52,11,indie,Pop Rock
2002,Coldplay,A Rush of Blood to the Head,54.13,11,indie,Alternative Rock
2002,Coldplay,A Rush of Blood to the Head,54.13,11,indie,Pop Rock
2005,Coldplay,XandY,62.5,13,indie,Alternative Rock
2005,Coldplay,XandY,62.5,13,indie,Pop Rock
2008,Coldplay,Viva la Vida or Death and All His Friends,45.93,12,classic,Art Rock
2008,Coldplay,Viva la Vida or Death and All His Friends,45.93,12,indie,Alternative Rock
2008,Coldplay,Viva la Vida or Death and All His Friends,45.93,12,indie,Pop Rock
1980,Colin Newman,A-Z,65.44,12,indie,New Wave
2007,Coliseum,No Salvation,35.33,15,punk,Hardcore
2007,Coliseum,No Salvation,35.33,15,punk,Punk
2010,Coliseum,House With A Curse,40.31,14,metal,Stoner Rock
2010,Coliseum,House With A Curse,40.31,14,punk,Hardcore
2010,Coliseum,House With A Curse,40.31,14,punk,Punk
1995,Collective Soul,Collective Soul,46.28,12,indie,Alternative Rock
1995,Collective Soul,Collective Soul,46.28,12,indie,Pop Rock
1995,Collective Soul,Collective Soul,46.28,12,metal,Hard Rock
1997,Collective Soul,Disciplined Breakdown,46.52,12,indie,Alternative Rock
1997,Collective Soul,Disciplined Breakdown,46.52,12,indie,Pop Rock
1999,Collective Soul,Dosage,50.27,12,indie,Alternative Rock
1999,Collective Soul,Dosage,50.27,12,metal,Hard Rock
2000,Collective Soul,Blender,38.72,11,indie,Pop Rock
2004,Collective Soul,Youth,37.87,11,indie,Alternative Rock
2007,Collective Soul,Afterwords,40.27,11,indie,Alternative Rock
2007,Collective Soul,Afterwords,40.27,11,indie,Pop Rock
2004,Colonel Claypool's Bucket Of Bernie Brains,The Big Eyeball In The Sky,58.05,11,classic,Prog Rock
2004,Colossal,Welcome the Problems,41.32,10,indie,Indie Rock
1969,Colosseum,Valentyne Suite,50.51,5,classic,Psychedelic Rock
1969,Colosseum,Valentyne Suite,50.51,5,roots,Blues Rock
2010,Colour Revolt,The Cradle,43.77,10,indie,Indie Rock
2006,Comadre,Burn Your Bones,24.17,11,indie,Emo
2006,Comadre,Burn Your Bones,24.17,11,punk,Hardcore
2006,Comadre,Burn Your Bones,24.17,11,punk,Punk
2006,Comadre,The Youth,30.06,10,punk,Hardcore
1999,Combatwoundedveteran,I Know A Girl Who Develops Crime Scene Photos,19.15,19,punk,Hardcore
1999,Combatwoundedveteran,I Know A Girl Who Develops Crime Scene Photos,19.15,19,punk,Punk
2001,Comets on Fire,Comets on Fire,60.43,10,classic,Psychedelic Rock
2001,Comets on Fire,Comets on Fire,60.43,10,punk,Garage Rock
2002,Comets on Fire,Field Recordings from the Sun,36.73,5,classic,Psychedelic Rock
2002,Comets on Fire,Field Recordings from the Sun,36.73,5,punk,Garage Rock
2004,Comets on Fire,Blue Cathedral,44.43,8,classic,Psychedelic Rock
2004,Comets on Fire,Blue Cathedral,44.43,8,punk,Garage Rock
2006,Comets on Fire,Avatar,45.77,7,classic,Psychedelic Rock
2006,Comets on Fire,Avatar,45.77,7,classic,Space Rock
2006,Comets on Fire,Avatar,45.77,7,indie,Indie Rock
1999,Common Rider,Last Wave Rockers,35.07,15,punk,Punk
2002,Common Rider,This is Unity Music,32.8,12,punk,Punk
2009,Company Of Thieves,Ordinary Riches,59.08,12,indie,Alternative Rock
2009,Company Of Thieves,Ordinary Riches,59.08,12,indie,Indie Rock
2009,Company Of Thieves,Ordinary Riches,59.08,12,roots,Folk Rock
1971,Comus,First Utterance,42.13,7,classic,Prog Rock
1971,Comus,First Utterance,42.13,7,roots,Folk Rock
1974,Comus,To Keep From Crying,40.9,10,classic,Psychedelic Rock
1974,Comus,To Keep From Crying,40.9,10,roots,Folk Rock
2010,Conan,Horseback Battle Hammer,33.05,4,metal,Doom Metal
2010,Conan,Horseback Battle Hammer,33.05,4,metal,Stoner Rock
1990,Concrete Blonde,Bloodletting,42.18,10,indie,Alternative Rock
2010,Conditions,Fluorescent Youth,39.55,11,indie,Alternative Rock
1991,Confessor,Condemned,40.93,9,metal,Doom Metal
1991,Confessor,Condemned,40.93,9,metal,Progressive Metal
2005,Confessor,Unraveled,46.7,9,metal,Doom Metal
2008,Confide,Shout the Truth,35.22,12,metal,Metalcore
2008,Confide,Shout the Truth,35.22,12,punk,Hardcore
2010,Confide,Recover,35.82,11,indie,Emo
2010,Confide,Recover,35.82,11,punk,Hardcore
1986,Conflict,The Ungovernable Force,50.96,15,punk,Punk
2008,Conor Oberst,Conor Oberst,42.17,12,indie,Indie Rock
2009,Consider the Thief,Signs and Wonders,50.5,13,classic,Art Rock
1999,Control Denied,The Fragile Art of Existence,50.75,8,metal,Heavy Metal
1999,Control Denied,The Fragile Art of Existence,50.75,8,metal,Progressive Metal
1994,Converge,Halo In A Haystack,7.1,10,metal,Metalcore
1996,Converge,Petitioning The Empty Sky,54.8,13,punk,Hardcore
1998,Converge,When Forever Comes Crashing,39.23,11,metal,Metalcore
1998,Converge,When Forever Comes Crashing,39.23,11,punk,Hardcore
2004,Converge,You Fail Me,35.57,12,metal,Metalcore
2006,Converge,No Heroes,41.6,14,metal,Metalcore
2009,Converge,Axe to Fall,42.18,13,punk,Hardcore
1990,Cop Shoot Cop,Consumer Revolt,40.28,13,indie,Alternative Rock
1990,Cop Shoot Cop,Consumer Revolt,40.28,13,punk,Punk
1993,Cop Shoot Cop,Ask Questions Later,49.62,14,indie,Alternative Rock
1993,Cop Shoot Cop,Ask Questions Later,49.62,14,punk,Punk
1994,Cop Shoot Cop,Release,50.52,13,indie,Alternative Rock
1994,Cop Shoot Cop,Release,50.52,13,punk,Punk
2003,Copeland,Beneath Medicine Tree,44.27,11,indie,Alternative Rock
2003,Copeland,Beneath Medicine Tree,44.27,11,indie,Emo
2003,Copeland,Beneath Medicine Tree,44.27,11,indie,Indie Rock
2005,Copeland,In Motion,41.3,10,indie,Alternative Rock
2005,Copeland,In Motion,41.3,10,indie,Indie Rock
2006,Copeland,"Eat, Sleep, Repeat",58.48,12,indie,Indie Rock
2006,Copeland,"Eat, Sleep, Repeat",58.48,12,indie,Pop Rock
2008,Copeland,You Are My Sunshine,48.17,11,indie,Indie Rock
2008,Copeland,You Are My Sunshine,48.17,11,indie,Pop Rock
2009,Cormorant,Metazoa,69.27,10,classic,Prog Rock
2009,Cormorant,Metazoa,69.27,10,metal,Black Metal
2009,Cormorant,Metazoa,69.27,10,metal,Death Metal
1997,Cornershop,When I Was Born For The 7th Time,54.17,15,indie,Indie Rock
2009,Corpus Christi,The Darker Shades Of White,44.77,11,metal,Metalcore
2010,Corpus Christi,A Feast for Crows,43.53,11,metal,Metalcore
1992,Corpus Rottus,Rituals of Silence,29.31,8,metal,Death Metal
1984,Corrosion of Conformity,Eye For An Eye,42.55,20,metal,Heavy Metal
1984,Corrosion of Conformity,Eye For An Eye,42.55,20,punk,Hardcore
1984,Corrosion of Conformity,Eye For An Eye,42.55,20,punk,Punk
1991,Corrosion of Conformity,Blind,52.63,13,metal,Heavy Metal
1991,Corrosion of Conformity,Blind,52.63,13,punk,Hardcore
1991,Corrosion of Conformity,Blind,52.63,13,roots,Southern Rock
1994,Corrosion of Conformity,Deliverance,54.28,14,metal,Hard Rock
1994,Corrosion of Conformity,Deliverance,54.28,14,metal,Heavy Metal
1994,Corrosion of Conformity,Deliverance,54.28,14,roots,Southern Rock
1996,Corrosion of Conformity,Wiseblood,58.0,13,metal,Heavy Metal
2000,Corrosion of Conformity,America's Volume Dealer,45.82,11,metal,Heavy Metal
2000,Corrosion of Conformity,America's Volume Dealer,45.82,11,metal,Stoner Rock
2000,Corrosion of Conformity,America's Volume Dealer,45.82,11,roots,Southern Rock
2005,Corrosion of Conformity,In the Arms of God,64.5,12,metal,Heavy Metal
2009,Cough,Sigillum Luciferi,57.27,6,metal,Doom Metal
2010,Cough,Ritual Abuse,67.2,6,metal,Doom Metal
1966,Count Five,Psychotic Reaction,25.65,11,classic,Psychedelic Rock
1966,Count Five,Psychotic Reaction,25.65,11,punk,Garage Rock
1993,Counting Crows,August And Everything After,52.42,11,indie,Alternative Rock
1996,Counting Crows,Recovering The Satellites,59.48,14,indie,Alternative Rock
1999,Counting Crows,This Desert Life,59.83,13,indie,Alternative Rock
2002,Counting Crows,Hard Candy,59.55,16,roots,Soft Rock
2002,Counting Crows,Hard Candy,59.55,16,roots,Southern Rock
2008,Counting Crows,Saturday Nights and Sunday Mornings,59.87,16,indie,Alternative Rock
1967,Country Joe And The Fish,Electric Music for the Mind and Body,43.27,11,classic,Psychedelic Rock
1967,Country Joe And The Fish,Electric Music for the Mind and Body,43.27,11,roots,Folk Rock
1967,Country Joe And The Fish,I-Feel-Like-I'm-Fixin'-To-Die,44.57,10,classic,Psychedelic Rock
1967,Country Joe And The Fish,I-Feel-Like-I'm-Fixin'-To-Die,44.57,10,roots,Blues Rock
2004,Courtney Love,America's Sweetheart,47.08,12,indie,Alternative Rock
1969,Coven,Witchcraft Destroys Minds and Reaps Souls,44.87,10,classic,Psychedelic Rock
1969,Coven,Witchcraft Destroys Minds and Reaps Souls,44.87,10,metal,Hard Rock
1987,Cows,Taint Pluribus Taint Unum,35.5,12,punk,Post-Punk
1987,Cows,Taint Pluribus Taint Unum,35.5,12,punk,Punk
1989,Cows,Daddy Has A Tail!,37.1,10,punk,Grunge
1989,Cows,Daddy Has A Tail!,37.1,10,punk,Punk
1990,Cows,Effete And Impudent Snobs,34.28,11,punk,Punk
1991,Cows,Peacetika,26.1,8,punk,Punk
1992,Cows,Cunning Stunts,39.05,12,indie,Alternative Rock
1993,Cows,Sexy Pee Story,40.6,11,indie,Alternative Rock
1993,Cows,Sexy Pee Story,40.6,11,punk,Punk
1994,Cows,Orphan's Tragedy,48.78,14,indie,Alternative Rock
1994,Cows,Orphan's Tragedy,48.78,14,punk,Punk
1996,Cows,Whorn,50.6,13,indie,Alternative Rock
1998,Cows,Sorry in Pig Minor,47.62,11,indie,Alternative Rock
1998,Cows,Sorry in Pig Minor,47.62,11,punk,Punk
1992,Cracker,Cracker,52.4,12,indie,Indie Rock
1992,Cracker,Cracker,52.4,12,roots,Country Rock
1993,Cracker,Kerosene Hat,72.03,99,indie,Alternative Rock
1993,Cracker,Kerosene Hat,72.03,99,roots,Country Rock
1994,Cradle of Filth,The Principle of Evil Made Flesh,52.5,13,metal,Black Metal
1998,Cradle of Filth,Cruelty and the Beast,58.78,10,metal,Black Metal
2000,Cradle of Filth,Midian,58.93,11,metal,Black Metal
2004,Cradle of Filth,Nymphetamine,75.75,15,metal,Black Metal
2004,Cradle of Filth,Nymphetamine,75.75,15,metal,Death Metal
2006,Cradle of Filth,Thornography,64.71,12,metal,Black Metal
2006,Cradle of Filth,Thornography,64.71,12,metal,Death Metal
2008,Cradle of Filth,Godspeed on the Devil's Thunder,71.45,13,metal,Black Metal
2008,Cradle of Filth,Godspeed on the Devil's Thunder,71.45,13,metal,Thrash
