master_id,artist,title,album_length
355440,Crime In Stereo,Crime In Stereo Is Dead,35.08
599601,Bowling for Soup,Rock On Honorable Ones!!,58.15
119283,Sabbat,Karmagmassacre,46.58
559486,Rune,The End Of Nothing,79.87
356731,You and I,The Curtain Falls,0.0
566750,Prototype,Trinity,0.0
542536,The Sidekicks,Weight of Air,39.08
350024,Shook Ones,The Unquotable A.M.H.,36.03
106892,pg.99,Document #8,22.65
107197,Charles Bronson,Youth Attack!,0.0
220617,City of Ships,Look What God Did To Us,39.47
105208,Buckethead,The Elephant Man's Alarm Clock,45.92
617632,Paul Baribeau,Grand Ledge,0.0
515168,Hexen,State of Insurgency,55.95
110664,I Shalt Become,Wanderings,61.28
107978,Order From Chaos,An Ending In Fire,0.0
36053,Fu Manchu,In Search Of...,40.21
1271070,Wrath and Rapture,Wrath and Rapture,0.0
1266139,Paper Tongues,Paper Tongues,0.0
1263916,Chasing Victory,I Call This Abandonment,0.0
448924,International Superheroes of Hardcore,Takin' It Ova!,0.0
41242,Grand Belial's Key,Mocking the Philanthropist,65.87
257927,Takaru,There Can Be Only None,0.0
41879,Leviathan,The Blind Wound,0.0
1175679,Margot and the Nuclear So and So's,Animal!,0.0
28049,Jon Anderson,Olias Of Sunhillow,43.82
444106,Lucero,1372 Overton Park,0.0
29575,Van Halen,Live Without A Net,92.32
246366,Nora,Dreamers and Deadmen,0.0
465955,Jonas Brothers,It's About Time,35.7
946769,Cire,Adrenological,55.07
463958,Steel Train,Steel Train,41.35
336173,Strictly Ballroom,Hide Here Forever,46.28
42597,Lair of the Minotaur,The Ultimate Destroyer,38.55
880357,Bleed The Dream,Built By Blood,42.9
1097679,Brother Von Doom,Relentless,0.0
150592,Akron/Family,"Set 'Em Wild, Set 'Em Free",49.78
1114333,Janus,Red Right Return,0.0
1125504,Addaura,Addaura,0.0
1117553,Dead To Fall,Villainy and Virtue,31.3
52187,Flake Music,"When You Land Here, It's Time To Return",31.68
