year,artist,title,rating,votes,album_length,tracks,avg_song_length,subgenre,style,country,city,state,state_pop
1996,Mark Knopfler,Golden Heart,3.71,38,70.3,14,5.02,roots,Soft Rock,United Kingdom,Blyth,North East (England),2683040
2000,Mark Knopfler,Sailing To Philadelphia,3.79,73,60.38,13,4.64,classic,Classic Rock,United Kingdom,Blyth,North East (England),2683040
2000,Mark Knopfler,Sailing To Philadelphia,3.79,73,60.38,13,4.64,roots,Country Rock,United Kingdom,Blyth,North East (England),2683040
2000,Mark Knopfler,Sailing To Philadelphia,3.79,73,60.38,13,4.64,roots,Folk Rock,United Kingdom,Blyth,North East (England),2683040
2004,Mark Knopfler,Shangri-La,3.7,24,66.23,14,4.73,roots,Country Rock,United Kingdom,Blyth,North East (England),2683040
2004,Mark Knopfler,Shangri-La,3.7,24,66.23,14,4.73,roots,Folk Rock,United Kingdom,Blyth,North East (England),2683040
2007,Mark Knopfler,Kill To Get Crimson,3.06,28,57.03,12,4.75,classic,Classic Rock,United Kingdom,Blyth,North East (England),2683040
2007,Mark Knopfler,Kill To Get Crimson,3.06,28,57.03,12,4.75,roots,Country Rock,United Kingdom,Blyth,North East (England),2683040
2009,Mark Knopfler,Get Lucky,3.53,29,52.17,11,4.74,roots,Soft Rock,United Kingdom,Blyth,North East (England),2683040
2005,Marmaduke Duke,The Magnificent Duke,3.64,25,45.4,18,2.52,indie,Alternative Rock,United Kingdom,Ayr,Scotland,2683040
2009,Marmaduke Duke,Duke Pandemonium,3.58,20,34.58,10,3.46,indie,Indie Rock,United Kingdom,Ayr,Scotland,2683040
2002,Martin Grech,Open Heart Zoo,3.93,27,69.98,13,5.38,indie,Alternative Rock,United Kingdom,Aylesbury,South East (England),9379833
1972,Matching Mole,Matching Mole,3.84,28,40.03,8,5.0,classic,Prog Rock,United Kingdom,Canterbury,South East (England),9379833
1972,Matching Mole,Matching Mole,3.84,28,40.03,8,5.0,classic,Psychedelic Rock,United Kingdom,Canterbury,South East (England),9379833
2009,Maths,Descent,3.8,119,31.38,12,2.62,punk,Hardcore,United Kingdom,Norwich,East,6398497
2008,Maybeshewill,Not For Want Of Trying,3.75,381,35.93,10,3.59,indie,Post Rock,United Kingdom,Leicester,East Midlands (England),4934939
2009,Maybeshewill,Sing The Word Hope In Four-Part Harmony,3.93,471,38.03,8,4.75,indie,Post Rock,United Kingdom,Leicester,East Midlands (England),4934939
2004,McFly,Room On The 3rd Floor,3.22,29,37.17,12,3.1,indie,Pop Rock,United Kingdom,London,London,8855333
2010,Me vs Hero,Days That Shape Our Lives,3.25,42,36.26,10,3.63,punk,Punk,United Kingdom,Blackpool,North West (England),7516113
2006,Mendeed,This War Will Last Forever,3.72,45,68.05,14,4.86,metal,Heavy Metal,United Kingdom,Dumbarton,Scotland,2683040
2007,Mendeed,The Dead Live By Love,3.43,37,62.03,15,4.14,metal,Metalcore,United Kingdom,Dumbarton,Scotland,2683040
2008,Metronomy,Nights Out,3.26,56,43.87,15,2.92,indie,Alternative Rock,United Kingdom,Totnes,South West (England),5764881
2005,Miasma and The Carousel of Headless Horses,Perils,3.98,20,44.78,13,3.44,classic,Prog Rock,United Kingdom,London,London,8855333
1983,Mike Oldfield,Crises,3.63,89,37.27,6,6.21,classic,Prog Rock,United Kingdom,Reading,South East (England),9379833
1984,Mike Oldfield,Discovery,3.46,53,41.15,8,5.14,classic,Prog Rock,United Kingdom,Reading,South East (England),9379833
1987,Mike Oldfield,Islands,2.83,32,41.45,7,5.92,indie,Pop Rock,United Kingdom,Reading,South East (England),9379833
1990,Mike Oldfield,Amarok,4.01,67,60.03,1,60.03,classic,Art Rock,United Kingdom,Reading,South East (England),9379833
1994,Mike Oldfield,The Songs Of Distant Earth,3.71,72,55.78,17,3.28,classic,Prog Rock,United Kingdom,Reading,South East (England),9379833
1991,Mike Oldfield,Heaven's Open,2.39,28,43.02,6,7.17,indie,Pop Rock,United Kingdom,Reading,South East (England),9379833
1992,Mike Oldfield,Tubular Bells II,3.69,70,58.38,14,4.17,classic,Prog Rock,United Kingdom,Reading,South East (England),9379833
1983,Mike Oldfield,Crises,3.63,89,37.27,6,6.21,classic,Art Rock,United Kingdom,Reading,South East (England),9379833
1996,Mike Oldfield,Voyager,3.42,50,58.22,10,5.82,roots,Folk Rock,United Kingdom,Reading,South East (England),9379833
1990,Mike Oldfield,Amarok,4.01,67,60.03,1,60.03,classic,Prog Rock,United Kingdom,Reading,South East (England),9379833
1982,Mike Oldfield,Five Miles Out,3.66,65,50.07,5,10.01,indie,Pop Rock,United Kingdom,Reading,South East (England),9379833
1980,Mike Oldfield,QE2,3.49,43,39.57,9,4.4,classic,Prog Rock,United Kingdom,Reading,South East (England),9379833
1982,Mike Oldfield,Five Miles Out,3.66,65,50.07,5,10.01,classic,Art Rock,United Kingdom,Reading,South East (England),9379833
1980,Mike Oldfield,QE2,3.49,43,39.57,9,4.4,indie,Pop Rock,United Kingdom,Reading,South East (England),9379833
1998,Mike Oldfield,Tubular Bells III,3.29,65,46.55,11,4.23,classic,Art Rock,United Kingdom,Reading,South East (England),9379833
1980,Mike Oldfield,QE2,3.49,43,39.57,9,4.4,classic,Art Rock,United Kingdom,Reading,South East (England),9379833
1979,Mike Oldfield,Platinum,3.55,42,18.7,5,3.74,roots,Folk Rock,United Kingdom,Reading,South East (England),9379833
1979,Mike Oldfield,Platinum,3.55,42,18.7,5,3.74,classic,Prog Rock,United Kingdom,Reading,South East (England),9379833
1978,Mike Oldfield,Incantations,3.74,60,72.62,4,18.16,classic,Prog Rock,United Kingdom,Reading,South East (England),9379833
1975,Mike Oldfield,Ommadawn,4.3,267,36.52,2,18.26,classic,Prog Rock,United Kingdom,Reading,South East (England),9379833
1974,Mike Oldfield,Hergest Ridge,3.93,130,40.52,2,20.26,classic,Prog Rock,United Kingdom,Reading,South East (England),9379833
1973,Mike Oldfield,Tubular Bells,4.23,530,48.83,2,24.42,classic,Prog Rock,United Kingdom,Reading,South East (England),9379833
1982,Mike Oldfield,Five Miles Out,3.66,65,50.07,5,10.01,classic,Prog Rock,United Kingdom,Reading,South East (England),9379833
2003,Million Dead,A Song to Ruin,3.99,244,44.62,10,4.46,punk,Hardcore,United Kingdom,London,London,8855333
2005,Million Dead,Harmony No Harmony,3.99,146,55.44,14,3.96,indie,Indie Rock,United Kingdom,London,London,8855333
2003,Million Dead,A Song to Ruin,3.99,244,44.62,10,4.46,indie,Post Rock,United Kingdom,London,London,8855333
2003,Million Dead,A Song to Ruin,3.99,244,44.62,10,4.46,metal,Stoner Rock,United Kingdom,London,London,8855333
2003,Mithras,Worlds Beyond the Veil,3.53,85,67.58,13,5.2,metal,Death Metal,United Kingdom,Rugby,West Midlands (England),6021653
2007,Mithras,Behind the Shadows Lie Madness,3.88,121,44.57,12,3.71,metal,Death Metal,United Kingdom,Rugby,West Midlands (England),6021653
1981,Modern English,Mesh and Lace,3.38,21,42.33,8,5.29,indie,New Wave,United Kingdom,Colchester,East,6398497
1981,Modern English,Mesh and Lace,3.38,21,42.33,8,5.29,punk,Post-Punk,United Kingdom,Colchester,East,6398497
1982,Modern English,After the Snow,3.67,38,36.37,8,4.55,indie,New Wave,United Kingdom,Colchester,East,6398497
1997,Mogwai,Young Team,4.11,1341,64.52,10,6.45,indie,Post Rock,United Kingdom,Glasgow,Scotland,2683040
1999,Mogwai,Come On Die Young,3.83,765,67.53,12,5.63,indie,Post Rock,United Kingdom,Glasgow,Scotland,2683040
2001,Mogwai,Rock Action,3.68,526,38.47,8,4.81,indie,Post Rock,United Kingdom,Glasgow,Scotland,2683040
2003,Mogwai,Happy Songs for Happy People,3.88,840,41.87,9,4.65,indie,Post Rock,United Kingdom,Glasgow,Scotland,2683040
2008,Mogwai,The Hawk Is Howling,3.42,650,63.42,10,6.34,indie,Post Rock,United Kingdom,Glasgow,Scotland,2683040
1995,Mojave 3,Ask Me Tomorrow,3.76,93,41.15,9,4.57,indie,Indie Rock,United Kingdom,London,London,8855333
1995,Mojave 3,Ask Me Tomorrow,3.76,93,41.15,9,4.57,roots,Folk Rock,United Kingdom,London,London,8855333
1998,Mojave 3,Out Of Tune,3.47,36,39.6,9,4.4,indie,Indie Rock,United Kingdom,London,London,8855333
1998,Mojave 3,Out Of Tune,3.47,36,39.6,9,4.4,roots,Folk Rock,United Kingdom,London,London,8855333
1992,Moonshake,Eva Luna,3.73,41,39.02,10,3.9,classic,Art Rock,United Kingdom,London,London,8855333
2010,More Than Life,Love Let Me Go,3.99,577,31.87,10,3.19,punk,Hardcore,United Kingdom,Bath,South West (England),5764881
2009,Morrissey,Years of Refusal,3.4,153,43.42,12,3.62,indie,Pop Rock,United Kingdom,Davyhulme,North West (England),7516113
2009,Morrissey,Years of Refusal,3.4,153,43.42,12,3.62,indie,Indie Rock,United Kingdom,Davyhulme,North West (England),7516113
2009,Morrissey,Years of Refusal,3.4,153,43.42,12,3.62,indie,Alternative Rock,United Kingdom,Davyhulme,North West (England),7516113
2006,Morrissey,Ringleader of the Tormentors,3.43,189,50.0,12,4.17,indie,Alternative Rock,United Kingdom,Davyhulme,North West (England),7516113
2004,Morrissey,You Are the Quarry,3.8,286,47.22,12,3.94,indie,Indie Rock,United Kingdom,Davyhulme,North West (England),7516113
1997,Morrissey,Maladjusted,2.76,91,39.87,10,3.99,indie,Indie Rock,United Kingdom,Davyhulme,North West (England),7516113
2004,Morrissey,You Are the Quarry,3.8,286,47.22,12,3.94,indie,Alternative Rock,United Kingdom,Davyhulme,North West (England),7516113
1994,Morrissey,Vauxhall and I,3.98,234,39.68,11,3.61,indie,Indie Rock,United Kingdom,Davyhulme,North West (England),7516113
1992,Morrissey,Your Arsenal,3.86,206,39.37,10,3.94,indie,Indie Rock,United Kingdom,Davyhulme,North West (England),7516113
1992,Morrissey,Your Arsenal,3.86,206,39.37,10,3.94,indie,Alternative Rock,United Kingdom,Davyhulme,North West (England),7516113
1991,Morrissey,Kill Uncle,2.94,124,33.03,10,3.3,indie,Alternative Rock,United Kingdom,Davyhulme,North West (England),7516113
1988,Morrissey,Viva Hate,3.93,307,42.12,12,3.51,indie,Indie Rock,United Kingdom,Davyhulme,North West (England),7516113
1995,Morrissey,Southpaw Grammar,3.39,92,47.67,8,5.96,indie,Alternative Rock,United Kingdom,Davyhulme,North West (England),7516113
2008,Moss,Sub Templum,3.52,63,38.38,4,9.6,metal,Doom Metal,United Kingdom,Southampton,South East (England),9379833
1974,Mott The Hoople,The Hoople,4.18,31,39.02,9,4.34,metal,Hard Rock,United Kingdom,Hereford,West Midlands (England),6021653
1974,Mott The Hoople,The Hoople,4.18,31,39.02,9,4.34,roots,Rock & Roll,United Kingdom,Hereford,West Midlands (England),6021653
1972,Mott The Hoople,All the Young Dudes,3.92,82,40.95,10,4.1,roots,Rock & Roll,United Kingdom,Hereford,West Midlands (England),6021653
1972,Mott The Hoople,All the Young Dudes,3.92,82,40.95,10,4.1,metal,Hard Rock,United Kingdom,Hereford,West Midlands (England),6021653
1973,Mott The Hoople,Mott,3.8,60,43.17,9,4.8,roots,Rock & Roll,United Kingdom,Hereford,West Midlands (England),6021653
2009,Mumford and Sons,Sigh No More,3.36,1373,48.68,12,4.06,roots,Folk Rock,United Kingdom,London,London,8855333
2007,Mumm-Ra,These Things Move In Threes,3.58,20,44.23,11,4.02,indie,Indie Rock,United Kingdom,Bexhill,South East (England),9379833
2009,Muse,The Resistance,2.85,3245,54.3,11,4.94,classic,Symphonic Rock,United Kingdom,Teignmouth,South West (England),5764881
2009,Muse,The Resistance,2.85,3245,54.3,11,4.94,classic,Space Rock,United Kingdom,Teignmouth,South West (England),5764881
2009,Muse,The Resistance,2.85,3245,54.3,11,4.94,classic,Prog Rock,United Kingdom,Teignmouth,South West (England),5764881
2009,Muse,The Resistance,2.85,3245,54.3,11,4.94,classic,Art Rock,United Kingdom,Teignmouth,South West (England),5764881
2008,Muse,HAARP,4.07,499,72.02,40,1.8,indie,Alternative Rock,United Kingdom,Teignmouth,South West (England),5764881
2006,Muse,Black Holes and Revelations,3.69,4250,45.47,11,4.13,indie,Alternative Rock,United Kingdom,Teignmouth,South West (England),5764881
2009,Muse,The Resistance,2.85,3245,54.3,11,4.94,indie,Alternative Rock,United Kingdom,Teignmouth,South West (England),5764881
2006,Muse,Black Holes and Revelations,3.69,4250,45.47,11,4.13,classic,Prog Rock,United Kingdom,Teignmouth,South West (England),5764881
2003,Muse,Absolution,3.99,4411,52.18,14,3.73,indie,Alternative Rock,United Kingdom,Teignmouth,South West (England),5764881
2001,Muse,Origin of Symmetry,4.1,3839,51.7,11,4.7,indie,Alternative Rock,United Kingdom,Teignmouth,South West (England),5764881
1999,Muse,Showbiz,3.5,2181,49.65,12,4.14,indie,Alternative Rock,United Kingdom,Teignmouth,South West (England),5764881
1999,Muse,Showbiz,3.5,2181,49.65,12,4.14,classic,Prog Rock,United Kingdom,Teignmouth,South West (England),5764881
2006,Muse,Black Holes and Revelations,3.69,4250,45.47,11,4.13,classic,Space Rock,United Kingdom,Teignmouth,South West (England),5764881
2009,My Dying Bride,For Lies I Sire,3.38,272,59.95,9,6.66,metal,Doom Metal,United Kingdom,Bradford,Yorkshire and The Humber,5541262
2006,My Dying Bride,A Line Of Deathless Kings,3.79,295,61.0,9,6.78,metal,Doom Metal,United Kingdom,Bradford,Yorkshire and The Humber,5541262
2004,My Dying Bride,"Songs Of Darkness, Words Of Light",3.92,364,59.3,8,7.41,metal,Doom Metal,United Kingdom,Bradford,Yorkshire and The Humber,5541262
2004,My Dying Bride,"Songs Of Darkness, Words Of Light",3.92,364,59.3,8,7.41,metal,Death Metal,United Kingdom,Bradford,Yorkshire and The Humber,5541262
2001,My Dying Bride,The Dreadful Hours,4.21,488,70.83,8,8.85,metal,Doom Metal,United Kingdom,Bradford,Yorkshire and The Humber,5541262
1999,My Dying Bride,The Light At The End Of The World,3.86,305,71.7,9,7.97,metal,Doom Metal,United Kingdom,Bradford,Yorkshire and The Humber,5541262
1996,My Dying Bride,Like Gods Of The Sun,3.73,314,54.12,9,6.01,metal,Doom Metal,United Kingdom,Bradford,Yorkshire and The Humber,5541262
1995,My Dying Bride,The Angel And The Dark River,4.18,532,52.23,6,8.7,metal,Doom Metal,United Kingdom,Bradford,Yorkshire and The Humber,5541262
1993,My Dying Bride,Turn Loose The Swans,4.23,590,57.9,7,8.27,metal,Doom Metal,United Kingdom,Bradford,Yorkshire and The Humber,5541262
1992,My Dying Bride,As The Flower Withers,3.52,273,43.42,6,7.24,metal,Doom Metal,United Kingdom,Bradford,Yorkshire and The Humber,5541262
1992,My Dying Bride,As The Flower Withers,3.52,273,43.42,6,7.24,metal,Death Metal,United Kingdom,Bradford,Yorkshire and The Humber,5541262
1998,My Dying Bride,34.788%... Complete,3.12,261,56.63,7,8.09,metal,Doom Metal,United Kingdom,Bradford,Yorkshire and The Humber,5541262
2001,My Vitriol,Finelines,3.92,90,48.03,18,2.67,indie,Alternative Rock,United Kingdom,London,London,8855333
2010,Mystery Jets,Serotonin,3.52,22,44.49,14,3.18,indie,Indie Rock,United Kingdom,Twickenham,London,8855333
2008,Mystery Jets,Twenty One,3.28,30,58.88,14,4.21,indie,Indie Rock,United Kingdom,Twickenham,London,8855333
2002,Napalm Death,Order of the Leech,3.52,202,44.7,12,3.72,metal,Death Metal,United Kingdom,Meriden,West Midlands (England),6021653
2000,Napalm Death,Enemy of the Music Business,3.95,298,52.2,16,3.26,metal,Death Metal,United Kingdom,Meriden,West Midlands (England),6021653
2006,Napalm Death,Smear Campaign,3.6,359,44.53,16,2.78,metal,Death Metal,United Kingdom,Meriden,West Midlands (England),6021653
2005,Napalm Death,The Code Is Red... Long Live The Code,3.78,329,45.0,15,3.0,metal,Death Metal,United Kingdom,Meriden,West Midlands (England),6021653
1998,Napalm Death,Words from the Exit Wound,2.74,209,41.02,12,3.42,metal,Death Metal,United Kingdom,Meriden,West Midlands (England),6021653
1997,Napalm Death,Inside the Torn Apart,3.03,214,39.47,12,3.29,metal,Death Metal,United Kingdom,Meriden,West Midlands (England),6021653
1995,Napalm Death,Diatribes,3.25,236,44.08,12,3.67,metal,Death Metal,United Kingdom,Meriden,West Midlands (England),6021653
1994,Napalm Death,"Fear, Emptiness, Despair",3.85,395,38.78,11,3.53,metal,Death Metal,United Kingdom,Meriden,West Midlands (England),6021653
1992,Napalm Death,Utopia Banished,3.64,339,39.05,15,2.6,metal,Death Metal,United Kingdom,Meriden,West Midlands (England),6021653
1990,Napalm Death,Harmony Corruption,3.79,524,40.99,10,4.1,metal,Death Metal,United Kingdom,Meriden,West Midlands (England),6021653
1987,Napalm Death,Scum,3.76,1054,33.26,28,1.19,punk,Hardcore,United Kingdom,Meriden,West Midlands (England),6021653
1987,Napalm Death,Scum,3.76,1054,33.26,28,1.19,metal,Thrash,United Kingdom,Meriden,West Midlands (England),6021653
2004,Natasha Bedingfield,Unwritten,3.32,31,54.35,14,3.88,indie,Pop Rock,United Kingdom,Cuckfield,South East (England),9379833
1978,National Health,National Health,3.72,30,50.53,5,10.11,classic,Prog Rock,United Kingdom,Canterbury,South East (England),9379833
1978,National Health,Of Queues and Cures,3.9,31,53.95,7,7.71,classic,Prog Rock,United Kingdom,Canterbury,South East (England),9379833
1994,Nature and Organisation,Beauty Reaps the Blood of Solitude,4.0,59,42.55,11,3.87,roots,Folk Rock,United Kingdom,Walsall,West Midlands (England),6021653
1981,Nazareth,The Fool Circle,3.0,28,35.03,10,3.5,metal,Hard Rock,United Kingdom,Dunfermline,Scotland,2683040
1982,Nazareth,2XS,2.98,24,40.44,11,3.68,classic,Classic Rock,United Kingdom,Dunfermline,Scotland,2683040
1982,Nazareth,2XS,2.98,24,40.44,11,3.68,metal,Hard Rock,United Kingdom,Dunfermline,Scotland,2683040
1983,Nazareth,Sound Elixir,2.56,24,39.72,10,3.97,metal,Hard Rock,United Kingdom,Dunfermline,Scotland,2683040
1998,Nazareth,Boogaloo,2.62,20,50.83,11,4.62,metal,Hard Rock,United Kingdom,Dunfermline,Scotland,2683040
1986,Nazareth,Cinema,2.43,22,40.05,9,4.45,metal,Hard Rock,United Kingdom,Dunfermline,Scotland,2683040
1991,Nazareth,No Jive,2.52,24,42.45,11,3.86,metal,Hard Rock,United Kingdom,Dunfermline,Scotland,2683040
1994,Nazareth,Move Me,3.0,21,55.7,15,3.71,metal,Hard Rock,United Kingdom,Dunfermline,Scotland,2683040
1980,Nazareth,Malice In Wonderland,3.2,33,41.05,10,4.1,metal,Hard Rock,United Kingdom,Dunfermline,Scotland,2683040
1984,Nazareth,The Catch,2.02,20,39.73,9,4.41,metal,Hard Rock,United Kingdom,Dunfermline,Scotland,2683040
1979,Nazareth,No Mean City,3.73,58,45.07,8,5.63,classic,Art Rock,United Kingdom,Dunfermline,Scotland,2683040
2008,Nazareth,The Newz,3.19,24,69.47,14,4.96,metal,Hard Rock,United Kingdom,Dunfermline,Scotland,2683040
1976,Nazareth,Close Enough For Rock 'N' Roll,3.38,47,38.02,12,3.17,roots,Blues Rock,United Kingdom,Dunfermline,Scotland,2683040
1977,Nazareth,Expect No Mercy,3.36,44,70.18,10,7.02,metal,Hard Rock,United Kingdom,Dunfermline,Scotland,2683040
1971,Nazareth,Nazareth,3.32,39,40.65,9,4.52,metal,Hard Rock,United Kingdom,Dunfermline,Scotland,2683040
1972,Nazareth,Exercises,2.75,30,34.6,10,3.46,metal,Hard Rock,United Kingdom,Dunfermline,Scotland,2683040
1974,Nazareth,Rampant,3.26,39,39.72,8,4.96,classic,Classic Rock,United Kingdom,Dunfermline,Scotland,2683040
1974,Nazareth,Rampant,3.26,39,39.72,8,4.96,metal,Hard Rock,United Kingdom,Dunfermline,Scotland,2683040
1973,Nazareth,Razamanaz,3.71,71,59.34,9,6.59,metal,Hard Rock,United Kingdom,Dunfermline,Scotland,2683040
1975,Nazareth,Hair Of The Dog,4.07,184,40.37,8,5.05,classic,Classic Rock,United Kingdom,Dunfermline,Scotland,2683040
1975,Nazareth,Hair Of The Dog,4.07,184,40.37,8,5.05,metal,Hard Rock,United Kingdom,Dunfermline,Scotland,2683040
1975,Nazareth,Hair Of The Dog,4.07,184,40.37,8,5.05,roots,Blues Rock,United Kingdom,Dunfermline,Scotland,2683040
1976,Nazareth,Close Enough For Rock 'N' Roll,3.38,47,38.02,12,3.17,metal,Hard Rock,United Kingdom,Dunfermline,Scotland,2683040
1974,Nazareth,Rampant,3.26,39,39.72,8,4.96,roots,Blues Rock,United Kingdom,Dunfermline,Scotland,2683040
1991,Ned's Atomic Dustbin,God Fodder,3.9,25,40.72,13,3.13,indie,Indie Rock,United Kingdom,Stourbridge,West Midlands (England),6021653
1990,New Model Army,Impurity,3.95,30,49.23,11,4.48,roots,Folk Rock,United Kingdom,Bradford,Yorkshire and The Humber,5541262
2000,New Model Army,Eight,3.9,21,46.65,11,4.24,roots,Folk Rock,United Kingdom,Bradford,Yorkshire and The Humber,5541262
2000,New Model Army,Eight,3.9,21,46.65,11,4.24,indie,New Wave,United Kingdom,Bradford,Yorkshire and The Humber,5541262
1993,New Model Army,The Love of Hopeless Causes,3.97,30,38.12,10,3.81,indie,New Wave,United Kingdom,Bradford,Yorkshire and The Humber,5541262
1990,New Model Army,Impurity,3.95,30,49.23,11,4.48,indie,New Wave,United Kingdom,Bradford,Yorkshire and The Humber,5541262
1993,New Model Army,The Love of Hopeless Causes,3.97,30,38.12,10,3.81,roots,Folk Rock,United Kingdom,Bradford,Yorkshire and The Humber,5541262
1989,New Model Army,Thunder and Consolation,4.11,73,44.67,10,4.47,indie,New Wave,United Kingdom,Bradford,Yorkshire and The Humber,5541262
1986,New Model Army,The Ghost of Cain,3.97,58,35.42,10,3.54,roots,Folk Rock,United Kingdom,Bradford,Yorkshire and The Humber,5541262
1986,New Model Army,The Ghost of Cain,3.97,58,35.42,10,3.54,indie,New Wave,United Kingdom,Bradford,Yorkshire and The Humber,5541262
1984,New Model Army,Vengeance,3.97,38,29.92,8,3.74,roots,Folk Rock,United Kingdom,Bradford,Yorkshire and The Humber,5541262
1984,New Model Army,Vengeance,3.97,38,29.92,8,3.74,punk,Post-Punk,United Kingdom,Bradford,Yorkshire and The Humber,5541262
1989,New Model Army,Thunder and Consolation,4.11,73,44.67,10,4.47,roots,Folk Rock,United Kingdom,Bradford,Yorkshire and The Humber,5541262
1981,New Order,Movement,3.72,457,35.33,10,3.53,indie,New Wave,United Kingdom,Salford,North West (England),7516113
1983,New Order,"Power, Corruption and Lies",4.13,974,42.57,8,5.32,indie,New Wave,United Kingdom,Salford,North West (England),7516113
1983,New Order,"Power, Corruption and Lies",4.13,974,42.57,8,5.32,punk,Post-Punk,United Kingdom,Salford,North West (England),7516113
1985,New Order,Low-Life,4.12,574,40.12,8,5.01,indie,Alternative Rock,United Kingdom,Salford,North West (England),7516113
1986,New Order,Brotherhood,3.81,363,37.15,9,4.13,indie,Alternative Rock,United Kingdom,Salford,North West (England),7516113
1989,New Order,Technique,3.93,446,40.03,9,4.45,indie,Alternative Rock,United Kingdom,Salford,North West (England),7516113
2001,New Order,Get Ready,3.46,219,50.67,10,5.07,indie,Pop Rock,United Kingdom,Salford,North West (England),7516113
1986,Nick Drake,Time Of No Reply,3.82,51,42.33,14,3.02,roots,Folk Rock,United Kingdom,Tanworth-in-Arden,West Midlands (England),6021653
1972,Nick Drake,Pink Moon,4.46,2173,28.09,11,2.55,roots,Folk Rock,United Kingdom,Tanworth-in-Arden,West Midlands (England),6021653
1969,Nick Drake,Five Leaves Left,4.29,1135,39.55,10,3.95,roots,Folk Rock,United Kingdom,Tanworth-in-Arden,West Midlands (England),6021653
1971,Nick Drake,Bryter Layter,4.09,974,39.15,10,3.92,roots,Folk Rock,United Kingdom,Tanworth-in-Arden,West Midlands (England),6021653
1978,Nick Lowe,Jesus of Cool,4.0,37,33.28,11,3.03,indie,New Wave,United Kingdom,Walton-on-Thames,South East (England),9379833
2005,Nine Black Alps,Everything Is,3.59,62,35.55,12,2.96,indie,Alternative Rock,United Kingdom,Manchester,North West (England),7516113
2005,Nine Black Alps,Everything Is,3.59,62,35.55,12,2.96,indie,Indie Rock,United Kingdom,Manchester,North West (England),7516113
2005,Nine Horses,Snow Borne Sorrow,4.29,36,59.08,9,6.56,classic,Art Rock,United Kingdom,London,London,8855333
2003,No-Man,Together We're Stranger,4.0,107,47.12,7,6.73,classic,Art Rock,United Kingdom,Hemel Hempstead,East,6398497
2008,No-Man,Schoolyard Ghosts,3.85,110,52.88,8,6.61,classic,Prog Rock,United Kingdom,Hemel Hempstead,East,6398497
2008,Noah and the Whale,"Peaceful, the World Lays Me Down",3.45,146,42.02,11,3.82,indie,Indie Rock,United Kingdom,London,London,8855333
2008,Noah and the Whale,"Peaceful, the World Lays Me Down",3.45,146,42.02,11,3.82,roots,Folk Rock,United Kingdom,London,London,8855333
2009,Noisettes,Wild Young Hearts,3.68,25,40.61,10,4.06,indie,Indie Rock,United Kingdom,London,London,8855333
2009,Noisettes,Wild Young Hearts,3.68,25,40.61,10,4.06,indie,Pop Rock,United Kingdom,London,London,8855333
1971,Nucleus (UK),We'll Talk About It Later,3.79,21,59.31,7,8.47,classic,Prog Rock,United Kingdom,London,London,8855333
1970,Nucleus (UK),Elastic Rock,3.55,20,40.77,13,3.14,classic,Prog Rock,United Kingdom,London,London,8855333
2008,Oasis,Dig Out Your Soul,3.26,674,45.8,11,4.16,indie,Indie Rock,United Kingdom,Manchester,North West (England),7516113
2005,Oasis,Don't Believe the Truth,3.33,712,42.87,11,3.9,roots,Rock & Roll,United Kingdom,Manchester,North West (England),7516113
2005,Oasis,Don't Believe the Truth,3.33,712,42.87,11,3.9,indie,Indie Rock,United Kingdom,Manchester,North West (England),7516113
2008,Oasis,Dig Out Your Soul,3.26,674,45.8,11,4.16,indie,Pop Rock,United Kingdom,Manchester,North West (England),7516113
2000,Oasis,Standing on the Shoulder of Giants,2.85,682,47.85,10,4.78,indie,Alternative Rock,United Kingdom,Manchester,North West (England),7516113
1997,Oasis,Be Here Now,3.26,970,71.52,12,5.96,classic,Classic Rock,United Kingdom,Manchester,North West (England),7516113
1994,Oasis,Definitely Maybe,4.13,1673,52.05,11,4.73,indie,Alternative Rock,United Kingdom,Manchester,North West (England),7516113
2002,Oasis,Heathen Chemistry,2.75,660,76.73,13,5.9,indie,Alternative Rock,United Kingdom,Manchester,North West (England),7516113
1996,Ocean Colour Scene,Moseley Shoals,3.61,49,54.57,12,4.55,indie,Alternative Rock,United Kingdom,Birmingham,West Midlands (England),6021653
1997,Ocean Colour Scene,Marchin' Already,3.45,22,48.5,13,3.73,indie,Indie Rock,United Kingdom,Birmingham,West Midlands (England),6021653
2005,Oceansize,Everyone Into Position,4.01,570,69.55,11,6.32,punk,Post-Hardcore,United Kingdom,Manchester,North West (England),7516113
2010,Oceansize,Self Preserved While The Bodies Float Up,3.86,473,51.32,10,5.13,indie,Alternative Rock,United Kingdom,Manchester,North West (England),7516113
2010,Oceansize,Self Preserved While The Bodies Float Up,3.86,473,51.32,10,5.13,classic,Prog Rock,United Kingdom,Manchester,North West (England),7516113
2007,Oceansize,Frames,4.29,805,77.57,9,8.62,indie,Alternative Rock,United Kingdom,Manchester,North West (England),7516113
2007,Oceansize,Frames,4.29,805,77.57,9,8.62,classic,Prog Rock,United Kingdom,Manchester,North West (England),7516113
2005,Oceansize,Everyone Into Position,4.01,570,69.55,11,6.32,metal,Progressive Metal,United Kingdom,Manchester,North West (England),7516113
2005,Oceansize,Everyone Into Position,4.01,570,69.55,11,6.32,indie,Shoegaze,United Kingdom,Manchester,North West (England),7516113
2005,Oceansize,Everyone Into Position,4.01,570,69.55,11,6.32,indie,Post Rock,United Kingdom,Manchester,North West (England),7516113
