artist,title,album_length
Rollins Band,Hard Volume,71:03
Rollins Band,Get Some Go Again,55:13
Rosaline,The Vitality Theory,
Rune,The End Of Nothing,
Rx Bandits,...And the Battle Begun,50:32
Rx Bandits,Mandala,
SQRM,Rodeo,
Sabbat,Karmagmassacre,
Sadus,Illusions,
Saetia,Saetia,
Samhain,Initium,29:01
Samhain,November-Coming-Fire,28:30
Samothrace,Life's Trade,
Savage,Loose 'N Lethal,
Savage Grace,Master Of Disguise,
Say Anything,...Is a Real Boy,57:55
Scott Walker,'Til the Band Comes in,41:12
Sebadoh,Weed Forestin,
Set Your Goals,Mutiny!,
Seventh Angel,The Torment,47:56
Sham 69,Tell Us The Truth,34:52
Shipping News,"Very Soon, and in Pleasant Company",
Shook Ones,The Unquotable A.M.H.,
Sid Vicious,Sid Sings,29:33
Simply Red,Men and Women,
Skeletonwitch,At One With the Shadows,
Skrewdriver,All Skrewed Up,25:5430:00 (German version)
Skullflower,Xaman,
Slaughter,Strappado,
Slaughterhouse,Slaughterhouse,
Sleater-Kinney,All Hands on the Bad One,37:07
Sleep,Volume One,
Sleeping With Sirens,With Ears to See and Eyes to Hear,31:10
Smash Mouth,Summer Girl,31:21
Snuff,Demmamussabebonk,34:03
Some Girls,All My Friends Are Going Death,28:24
Sound Tribe Sector 9,Peaceblaster,
Spires,Flowers And Fireworks,
Spirit,Spirit,
Spitfire,The Dead Next Door,
Steel Train,Steel Train,
Stereolab,Cobra and Phases Group Play Voltage in the Milky Night,75:37
Stereophonics,Keep Calm and Carry On,
Still Life,From Angry Heads With Skyward Eyes,
Strawbs,Bursting at the Seams,40:29
Strawbs,Hero and Heroine,39:36
Stray from the Path,People Over Profit,
Stray from the Path,Audio Prozac,
Stray from the Path,Our Oceania,
Strictly Ballroom,Hide Here Forever,
Sun City Girls,Horse Cock Phepner,44:54
Sun City Girls,Dante's Disneyland Inferno,138:59
Sweep the Leg Johnny,Going Down Swingin',
T. Rex,Dandy in the Underworld,37:52
Takaru,There Can Be Only None,
Tank,Honour And Blood,
Tar,Jackson,
The Adverts,Crossing The Red Sea With The Adverts,31:03
The Arrogant Sons of Bitches,Built to Fail,
The Atomic Bitchwax,The Atomic Bitchwax II,
The Blood Brothers,"...Burn, Piano Island, Burn",47:46
The Breathing Process,Odyssey: (Un)dead,
The Company Band,The Company Band,
The Comsat Angels,Waiting for a Miracle,
The Comsat Angels,Sleep No More,
The Comsat Angels,Fiction,
The Courteeners,St. Jude,
The Courteeners,Falcon,
The Cramps,Flamejob,44.51 
The Creatures,Boomerang,
The Dismemberment Plan,!,
The Exploited,Punks Not Dead,37:33[1]
The Fall,Shift-Work,
The Fall,Code: Selfish,54:22
The Gates Of Slumber,Hymns of Blood and Thunder,
The Halo Benders,God Don't Make No Junk,33:18
The Jesus and Mary Chain,Psychocandy,38:55
The Jimi Hendrix Experience,Are You Experienced,
The Jimi Hendrix Experience,Axis: Bold as Love,38:49
The Jimi Hendrix Experience,Electric Ladyland,73:56
The Killing Tree,The Romance of Helen Trent,
The Kinks,Think Visual,44:22
The Kinks,UK Jive,43:44
The Locust,The Locust,
The Matches,A Band In Hope,44:13
The Mekons,Fear And Whiskey,
The Mighty Mighty Bosstones,Devils Night Out,
The Mountain Goats,Taboo VI: The Homecoming,
The Mountain Goats,The Hound Chronicles,
The Mountain Goats,Hot Garden Stomp,
The Nation of Ulysses,13-Point Program To Destroy America,
The Nation of Ulysses,Plays Pretty for Baby,49:42
The Pretenders,Pretenders II,46:11
The Rocket Summer,Of Men and Angels,55:15
The Sidekicks,Weight of Air,
The State Lottery,Cities We're Not From,
The Sundays,"Reading, Writing and Arithmetic",38:34
The Used,In Love and Death,41:43
The Vandals,When in Rome Do as the Vandals,30:58
The Vandals,"Hitler Bad, Vandals Good",36:40
The Warlocks,Phoenix Album,64:02
Therapy?,Babyteeth,
Therapy?,Pleasure Death,22:25
This Bike Is A Pipe Bomb,Dance Party With...,
This Bike Is A Pipe Bomb,Front Seat Solidarity,
This Time Next Year,Road Maps and Heart Attacks,31:17
Tilly and the Wall,Bottoms of Barrels,41:39
Tool,72826,
Tragedy,Vengeance,
Tragedy,Nerve Damage,
Treepeople,Guilt Regret Embarrassment,
Turbid North,Orogeny,
Tuxedomoon,Half-Mute,40:04
Twelve Tribes,Midwest Pandemic,43:10
Tygers Of Pan Tang,Wild Cat,
Ultravox,Ha!-Ha!-Ha!,34:40
Uriah Heep,...Very 'Eavy Very 'Umble...,
Valencia,Dancing With A Ghost,
Valium Aggelein,Hier Kommt der Schwartze Mond,
Van Halen,Live Without A Net,
Verbal Abuse,Just An American Band,
Verse,From Anger and Rage,
Verse,Aggression,
Voodoo Glow Skulls,The Band Geek Mafia,44:14
W.A.S.P.,The Last Command,
W.A.S.P.,Still Not Black Enough,38:30
War of Ages,War of Ages,
Warrant,Ultraphobic,43:03
Watchtower,Control and Resistance,43:15
We Were Skeletons,Summers,
Weekend,Sports,
Weekend Nachos,Punish and Destroy,
Whiplash,Power and Pain,34:45
Wings,Band on the Run,"
41:08 (UK version)
44:17 (US version)
"
Wings,Venus and Mars,
Wishbone Ash,New England,
Witchfinder General,Resurrected,
Woo,Into the Heart of Love,50:40
Wrath and Rapture,Wrath and Rapture,
Yaphet Kotto,The Killer Was in the Government Blankets,
Yes,Time and a Word,39:08
Yo La Tengo,Ride the Tiger,
You and I,The Curtain Falls,
Your Best Friend,Your Best Friend,
Zeke,Death Alley,28:24
pg.99,Document #8,
