city,state,population
Maple Grove,Minnesota,72622
Morgantown,West Virginia,72458
Harrisonburg,Virginia,72386
Redmond,Washington,71929
Redlands,California,71513
Sherman,Texas,70704
Walnut Creek,California,70166
Passaic,New Jersey,69703
Sheboygan,Wisconsin,69393
Daytona Beach,Florida,69186
Lima,Ohio,68878
Rockville,Maryland,68079
Gaithersburg,Maryland,67985
Union City,New Jersey,67982
Ames,Iowa,67910
Yorba Linda,California,67644
Palatine,Illinois,67482
DeKalb,Illinois,66959
Petaluma,California,66929
Laguna Niguel,California,66385
Bay City,Michigan,66107
North Little Rock,Arkansas,65903
Carbondale,Illinois,65671
Palo Alto,California,65364
Great Falls,Montana,65131
Bayonne,New Jersey,64897
Noblesville,Indiana,64668
Chapel Hill,North Carolina,64051
Haverhill,Massachusetts,64014
Parkersburg,West Virginia,62566
San Luis Obispo,California,62290
Hamilton,Ohio,62082
Rome,Georgia,61537
Sanford,Florida,61448
Reston,Virginia,61147
Taylor,Michigan,60922
Marietta,Georgia,60867
La Habra,California,60513
Bangor,Maine,59772
Bradenton,Florida,59439
Pontiac,Michigan,59438
Meriden,Connecticut,59395
Royal Oak,Michigan,59277
Middletown,New York,58592
Hendersonville,Tennessee,58113
White Plains,New York,58109
Jefferson City,Missouri,58025
Towson,Maryland,57817
Parker,Colorado,57706
Bozeman,Montana,57695
Huntington Park,California,57509
Blue Springs,Missouri,55829
Tinley Park,Illinois,55773
New Brunswick,New Jersey,55676
Novato,California,55516
Ithaca,New York,55137
Chicopee,Massachusetts,55126
Kingston,New York,54791
West Haven,Connecticut,54620
Normal,Illinois,54469
Rosemead,California,54058
Leesburg,Virginia,53727
Palm Desert,California,53275
Revere,Massachusetts,53073
Helena,Montana,52936
Wheaton,Illinois,52745
Hoboken,New Jersey,52677
Oak Park,Illinois,52381
Levittown,New York,51634
Glendora,California,51544
Perth Amboy,New Jersey,51390
Placentia,California,51233
Kannapolis,North Carolina,50841
Mishawaka,Indiana,50363
Plainfield,New Jersey,50317
Stillwater,Oklahoma,50299
Morehead City,North Carolina,49760
Coral Gables,Florida,49700
Minot,North Dakota,49425
Poway,California,49323
Cypress,California,49006
Roswell,New Mexico,48889
Draper,Utah,48587
Palm Springs,California,48518
Findlay,Ohio,48469
La Mirada,California,48183
East Lansing,Michigan,48145
Uniontown,Pennsylvania,48137
Cumberland,Maryland,47980
Rancho Santa Margarita,California,47896
Potomac,Maryland,45940
Tupelo,Mississippi,45466
Lufkin,Texas,44867
Lombard,Illinois,44303
Eureka,California,44236
Sayreville,New Jersey,44173
Altamonte Springs,Florida,44143
Moorhead,Minnesota,43652
Rohnert Park,California,43291
Freeport,New York,42956
Hicksville,New York,42709
Urbana,Illinois,42214
Beverly,Massachusetts,42174
Statesboro,Georgia,42102
Campbell,California,41793
La Quinta,California,41748
Newnan,Georgia,41581
Westfield,Massachusetts,41204
Spanish Fork,Utah,40913
Belleville,Illinois,40897
Wilkes-Barre,Pennsylvania,40766
Pottsville,Pennsylvania,40685
Bluefield,West Virginia,40640
