artist,country,city,latitude,longitude,address,state,state_pop
Six Organs Of Admittance,United States,Arcata,40.866517,-124.08284,"Arcata, Humboldt County, California, 95521, United States",California,29950111
Catacombs,United States,Arizona,34.395342,-111.763275,"Arizona, United States",Arizona,3679056
Barcelona,United States,Arlington,38.8769326,-77.0893094,"Arlington County, Virginia, United States",Virginia,6213526
Deceased,United States,Arlington,38.8769326,-77.0893094,"Arlington County, Virginia, United States",Virginia,6213526
Embodyment,United States,Arlington,32.7355816,-97.1071186,"Arlington, Tarrant County, Texas, United States",Texas,17044714
Gammacide,United States,Arlington,32.7355816,-97.1071186,"Arlington, Tarrant County, Texas, United States",Texas,17044714
Pantera,United States,Arlington,32.7355816,-97.1071186,"Arlington, Tarrant County, Texas, United States",Texas,17044714
Powerglove,United States,Arlington,42.4153739,-71.1564428,"Arlington, Middlesex County, Massachusetts, United States",Massachusetts,6018664
Rachael Yamagata,United States,Arlington,38.8769326,-77.0893094,"Arlington County, Virginia, United States",Virginia,6213526
Rebel Meets Rebel,United States,Arlington,32.7355816,-97.1071186,"Arlington, Tarrant County, Texas, United States",Texas,17044714
Solitude Aeturnus,United States,Arlington,32.7355816,-97.1071186,"Arlington, Tarrant County, Texas, United States",Texas,17044714
The Famine,United States,Arlington,32.7355816,-97.1071186,"Arlington, Tarrant County, Texas, United States",Texas,17044714
Athletics,United States,Asbury Park,40.2203907,-74.0120817,"Asbury Park, Monmouth County, New Jersey, 07711, United States",New Jersey,7757158
The Parlor Mob,United States,Asbury Park,40.2203907,-74.0120817,"Asbury Park, Monmouth County, New Jersey, 07711, United States",New Jersey,7757158
Daylight Dies,United States,Asheville,35.595363,-82.5508407,"Asheville, Buncombe County, North Carolina, United States",North Carolina,6656986
Sanctity,United States,Asheville,35.595363,-82.5508407,"Asheville, Buncombe County, North Carolina, United States",North Carolina,6656986
Blind Pilot,United States,Astoria,46.1882007,-123.8319802,"Astoria, Clatsop County, Oregon, 97103, United States",Oregon,2858547
Grouper,United States,Astoria,46.1882007,-123.8319802,"Astoria, Clatsop County, Oregon, 97103, United States",Oregon,2858547
Leeway,United States,Astoria,40.7720145,-73.9302673,"Astoria, Queens, Queens County, City of New York, New York, 11102, United States",New York,18002855
Azure Ray,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States",Georgia,6506531
Cinemechanica,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States",Georgia,6506531
Circulatory System,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States",Georgia,6506531
Drive-By Truckers,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States",Georgia,6506531
Harvey Milk,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States",Georgia,6506531
Jucifer,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States",Georgia,6506531
Major Organ and the Adding Machine,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States",Georgia,6506531
Maserati,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States",Georgia,6506531
Nana Grizol,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States",Georgia,6506531
Phosphorescent,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States",Georgia,6506531
Pylon,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States",Georgia,6506531
R.E.M.,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States",Georgia,6506531
Six Gallery,United States,Athens,39.355589,-82.0610404,"Athens County, Ohio, United States",Ohio,10861837
Skeletonwitch,United States,Athens,39.355589,-82.0610404,"Athens County, Ohio, United States",Ohio,10861837
The Angelic Process,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States",Georgia,6506531
The Olivia Tremor Control,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States",Georgia,6506531
Theocracy,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States",Georgia,6506531
Widespread Panic,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States",Georgia,6506531
of Montreal,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States",Georgia,6506531
Atlas Sound,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
Attila,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
Bad Books,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
Becoming The Archetype,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
Cat Power,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
City Sleeps,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
Deerhunter,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
Encoffination,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
Fozzy,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
Gnarls Barkley,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
Gov't Mule,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
Hallows Eve,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
I Would Set Myself On Fire For You,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
Indigo Girls,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
Injected,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
Irreversible,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
Kaki King,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
Manchester Orchestra,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
Marvelous 3,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
Mastodon,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
Me and Him Call It Us,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
Nashville Pussy,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
