artist,city,state,population
16,Los Angeles,California,12750807
The Warlocks,Los Angeles,California,12750807
The Peanut Butter Conspiracy,Los Angeles,California,12750807
Terrorizer,Los Angeles,California,12750807
Lord Huron,Los Angeles,California,12750807
Dig,Los Angeles,California,12750807
McAuley Schenker Group,Los Angeles,California,12750807
Orgy,Los Angeles,California,12750807
Year of the Rabbit,Los Angeles,California,12750807
Gowns,Los Angeles,California,12750807
kyng,Los Angeles,California,12750807
Hala Strana,Los Angeles,California,12750807
Miranda Cosgrove,Los Angeles,California,12750807
FIDLAR,Los Angeles,California,12750807
Agent Steel,Los Angeles,California,12750807
Best Coast,Los Angeles,California,12750807
Atoms for Peace,Los Angeles,California,12750807
Spock's Beard,Los Angeles,California,12750807
Tourniquet,Los Angeles,California,12750807
Former Ghosts,Los Angeles,California,12750807
Static-X,Los Angeles,California,12750807
Missing Persons,Los Angeles,California,12750807
The Flesh Eaters,Los Angeles,California,12750807
Wild Man Fischer,Los Angeles,California,12750807
The Like,Los Angeles,California,12750807
David Crosby,Los Angeles,California,12750807
Flogging Molly,Los Angeles,California,12750807
Serart,Los Angeles,California,12750807
Farflung,Los Angeles,California,12750807
Orgone,Los Angeles,California,12750807
Oskoreien,Los Angeles,California,12750807
Dokken,Los Angeles,California,12750807
Love Spirals Downwards,Los Angeles,California,12750807
Phantom Planet,Los Angeles,California,12750807
Lo Moon,Los Angeles,California,12750807
The Millennium,Los Angeles,California,12750807
Fear of God,Los Angeles,California,12750807
The Chambers Brothers,Los Angeles,California,12750807
Mr. Big,Los Angeles,California,12750807
Black Label Society,Los Angeles,California,12750807
Cheekface,Los Angeles,California,12750807
Prick,Los Angeles,California,12750807
Deap Vally,Los Angeles,California,12750807
The Calling,Los Angeles,California,12750807
Rilo Kiley,Los Angeles,California,12750807
Earth from Above,Los Angeles,California,12750807
Intronaut,Los Angeles,California,12750807
BulletBoys,Los Angeles,California,12750807
Buffalo Springfield,Los Angeles,California,12750807
Tamaryn,Los Angeles,California,12750807
Armageddon,Los Angeles,California,12750807
Medicine,Los Angeles,California,12750807
Failure,Los Angeles,California,12750807
Savage Republic,Los Angeles,California,12750807
Hope Sandoval and the Warm Inventions,Los Angeles,California,12750807
Broken Bells,Los Angeles,California,12750807
Sea Wolf,Los Angeles,California,12750807
Warrior,Los Angeles,California,12750807
Crazy Town,Los Angeles,California,12750807
Five For Fighting,Los Angeles,California,12750807
Sasquatch,Los Angeles,California,12750807
The Association,Los Angeles,California,12750807
The Turtles,Los Angeles,California,12750807
Deadsy,Los Angeles,California,12750807
Gasp,Los Angeles,California,12750807
Ra,Los Angeles,California,12750807
Kidneythieves,Los Angeles,California,12750807
Dawes,Los Angeles,California,12750807
Lizzy Borden,Los Angeles,California,12750807
Divine Fits,Los Angeles,California,12750807
Coconut Records,Los Angeles,California,12750807
After Midnight Project,Los Angeles,California,12750807
Little Joy,Los Angeles,California,12750807
King Kobra,Los Angeles,California,12750807
Nick Jonas and the Administration,Los Angeles,California,12750807
Tonic,Los Angeles,California,12750807
Wall Of Voodoo,Los Angeles,California,12750807
Richard Cheese,Los Angeles,California,12750807
Fishbone,Los Angeles,California,12750807
Fiona Apple,Los Angeles,California,12750807
The Knack,Los Angeles,California,12750807
New Radicals,Los Angeles,California,12750807
Great White,Los Angeles,California,12750807
Blue Murder,Los Angeles,California,12750807
Mini Mansions,Los Angeles,California,12750807
Coal Chamber,Los Angeles,California,12750807
Foster the People,Los Angeles,California,12750807
The Runaways,Los Angeles,California,12750807
Dada,Los Angeles,California,12750807
The Exies,Los Angeles,California,12750807
Canned Heat,Los Angeles,California,12750807
Hellion,Los Angeles,California,12750807
Damn the Machine,Los Angeles,California,12750807
The Monkees,Los Angeles,California,12750807
Grip Inc.,Los Angeles,California,12750807
The West Coast Pop Art Experimental Band,Los Angeles,California,12750807
Spineshank,Los Angeles,California,12750807
Goldfinger,Los Angeles,California,12750807
Jane's Addiction,Los Angeles,California,12750807
Eleven,Los Angeles,California,12750807
Buckingham Nicks,Los Angeles,California,12750807
The Company Band,Los Angeles,California,12750807
The Sound of Animals Fighting,Los Angeles,California,12750807
Oppressor,Chicago,Illinois,8604203
June,Chicago,Illinois,8604203
Janus,Chicago,Illinois,8604203
Chicago,Chicago,Illinois,8604203
Anastacia,Chicago,Illinois,8604203
Lard,Chicago,Illinois,8604203
Gastr del Sol,Chicago,Illinois,8604203
Broken Hope,Chicago,Illinois,8604203
Smith Westerns,Chicago,Illinois,8604203
Dianogah,Chicago,Illinois,8604203
Naked Raygun,Chicago,Illinois,8604203
Traitors,Chicago,Illinois,8604203
Znowhite,Chicago,Illinois,8604203
Fruit Bats,Chicago,Illinois,8604203
Master,Chicago,Illinois,8604203
Ghosts and Vodka,Chicago,Illinois,8604203
Jim O'Rourke,Chicago,Illinois,8604203
Outrun the Sunlight,Chicago,Illinois,8604203
Veruca Salt,Chicago,Illinois,8604203
Sioum,Chicago,Illinois,8604203
Buried at Sea,Chicago,Illinois,8604203
Pet Symmetry,Chicago,Illinois,8604203
Urge Overkill,Chicago,Illinois,8604203
Grown Ups,Chicago,Illinois,8604203
Arma Angelus,Chicago,Illinois,8604203
Cianide,Chicago,Illinois,8604203
The Broadways,Chicago,Illinois,8604203
Rise Against,Chicago,Illinois,8604203
Flatfoot 56,Chicago,Illinois,8604203
The Lawrence Arms,Chicago,Illinois,8604203
Survivor,Chicago,Illinois,8604203
Michael Angelo Batio,Chicago,Illinois,8604203
Andrew Bird's Bowl Of Fire,Chicago,Illinois,8604203
Retirement Party,Chicago,Illinois,8604203
