artist,country
Jeff Buckley,United States
Nick Drake,United Kingdom
Lou Reed,United States
Megadeth,United States
Something Corporate,United States
The Beatles,United Kingdom
Nine Inch Nails,United States
The Beatles,United Kingdom
Papa Roach,United States
Orgy,United States
Dream Theater,United States
Evergreen Terrace,United States
Franz Ferdinand,United Kingdom
Pearl Jam,United States
The Smiths,United Kingdom
The Velvet Underground,United States
The Rolling Stones,United Kingdom
Ben Harper,United States
Van Halen,United States
Screaming Trees,United States
The Zombies,United Kingdom
AFI,United States
Primus,United States
Senses Fail,United States
The Fall of Troy,United States
Black Sabbath,United Kingdom
Widespread Panic,United States
Pink Floyd,United Kingdom
Paul Simon,United States
Eve 6,United States
Morbid Angel,United States
Nevermore,United States
Blur,United Kingdom
Converge,United States
The Music,United Kingdom
Feeder,United Kingdom
The Apples in Stereo,United States
Iron Maiden,United Kingdom
Shadows Fall,United States
Nile,United States
Pink Floyd,United Kingdom
Modest Mouse,United States
Joey Ramone,United States
Megadeth,United States
As I Lay Dying,United States
Cannibal Corpse,United States
Shadows Fall,United States
The Blood Brothers,United States
Van Halen,United States
Local H,United States
Chimaira,United States
Genesis,United Kingdom
The Movielife,United States
Green Day,United States
The Libertines,United Kingdom
Sonic Youth,United States
Psyopus,United States
Chevelle,United States
The Polyphonic Spree,United States
The Used,United States
Keane,United Kingdom
Chevelle,United States
Mastodon,United States
Andrew W.K.,United States
of Montreal,United States
Led Zeppelin,United Kingdom
The Shins,United States
Hoobastank,United States
Supertramp,United Kingdom
PJ Harvey,United Kingdom
The Police,United Kingdom
Beck,United States
Oasis,United Kingdom
Jack Johnson,United States
Cake,United States
Between the Buried and Me,United States
Counting Crows,United States
A Perfect Circle,United States
Wilco,United States
Elliott Smith,United States
R.E.M.,United States
Primus,United States
Manic Street Preachers,United Kingdom
Feeder,United Kingdom
Brian Wilson,United States
David Gray,United Kingdom
Fear,United States
The Magnetic Fields,United States
Beck,United States
Cradle of Filth,United Kingdom
Derek and the Dominos,United Kingdom
