artist,city,state,population
Two,Birmingham,West Midlands,1137100
Epic45,Birmingham,West Midlands,1137100
Au Pairs,Birmingham,West Midlands,1137100
Sacrilege,Birmingham,West Midlands,1137100
Joan Armatrading,Birmingham,West Midlands,1137100
Anaal Nathrakh,Birmingham,West Midlands,1137100
Swim Deep,Birmingham,West Midlands,1137100
Fukpig,Birmingham,West Midlands,1137100
Johnny Foreigner,Birmingham,West Midlands,1137100
Esoteric,Birmingham,West Midlands,1137100
Alunah,Birmingham,West Midlands,1137100
Duran Duran,Birmingham,West Midlands,1137100
Quartz,Birmingham,West Midlands,1137100
Ice,Birmingham,West Midlands,1137100
Blaze Bayley,Birmingham,West Midlands,1137100
Judas Priest,Birmingham,West Midlands,1137100
Blakfish,Birmingham,West Midlands,1137100
Outlander,Birmingham,West Midlands,1137100
Benediction,Birmingham,West Midlands,1137100
The Beat,Birmingham,West Midlands,1137100
The Move,Birmingham,West Midlands,1137100
The Moody Blues,Birmingham,West Midlands,1137100
Black Sabbath,Birmingham,West Midlands,1137100
Godflesh,Birmingham,West Midlands,1137100
Magnum,Birmingham,West Midlands,1137100
Dexys Midnight Runners,Birmingham,West Midlands,1137100
Sarpanitum,Birmingham,West Midlands,1137100
Swell Maps,Birmingham,West Midlands,1137100
Mistress,Birmingham,West Midlands,1137100
Human Hands,Birmingham,West Midlands,1137100
Electric Light Orchestra,Birmingham,West Midlands,1137100
Broadcast,Birmingham,West Midlands,1137100
Scorn,Birmingham,West Midlands,1137100
Traffic,Birmingham,West Midlands,1137100
DOOM,Birmingham,West Midlands,1137100
Tony Iommi,Birmingham,West Midlands,1137100
Fine Young Cannibals,Birmingham,West Midlands,1137100
Rannoch,Birmingham,West Midlands,1137100
Bong,Newcastle,North East,879996
The Wildhearts,Newcastle,North East,879996
Energetic Krusher,Newcastle,North East,879996
Raven,Newcastle,North East,879996
Stateless,Leeds,West Yorkshire,789194
The Sisters of Mercy,Leeds,West Yorkshire,789194
Caskets,Leeds,West Yorkshire,789194
Pest Control,Leeds,West Yorkshire,789194
Lone Wolf,Leeds,West Yorkshire,789194
Hookworms,Leeds,West Yorkshire,789194
Red Lorry Yellow Lorry,Leeds,West Yorkshire,789194
Higher Power,Leeds,West Yorkshire,789194
iLiKETRAiNS,Leeds,West Yorkshire,789194
Send More Paramedics,Leeds,West Yorkshire,789194
The Mekons,Leeds,West Yorkshire,789194
Hood,Leeds,West Yorkshire,789194
Paul Marshall,Leeds,West Yorkshire,789194
Humanfly,Leeds,West Yorkshire,789194
Vessels,Leeds,West Yorkshire,789194
Pulled Apart By Horses,Leeds,West Yorkshire,789194
Dinosaur Pile-Up,Leeds,West Yorkshire,789194
Eagulls,Leeds,West Yorkshire,789194
Killing Me Softly,Leeds,West Yorkshire,789194
Kaiser Chiefs,Leeds,West Yorkshire,789194
Pale Saints,Leeds,West Yorkshire,789194
Adult Jazz,Leeds,West Yorkshire,789194
Jan Dukes de Grey,Leeds,West Yorkshire,789194
The Flex,Leeds,West Yorkshire,789194
Gang of Four,Leeds,West Yorkshire,789194
Black Moth,Leeds,West Yorkshire,789194
English Teacher,Leeds,West Yorkshire,789194
The Mission,Leeds,West Yorkshire,789194
The Wedding Present,Leeds,West Yorkshire,789194
Hawk Eyes,Leeds,West Yorkshire,789194
These Monsters,Leeds,West Yorkshire,789194
Static Dress,Leeds,West Yorkshire,789194
Grammatics,Leeds,West Yorkshire,789194
Yard Act,Leeds,West Yorkshire,789194
alt-J,Leeds,West Yorkshire,789194
Blacklisters,Leeds,West Yorkshire,789194
Dananananaykroyd,Glasgow,Alba / Scotland,633120
The Blue Nile,Glasgow,Alba / Scotland,633120
Travis,Glasgow,Alba / Scotland,633120
The Delgados,Glasgow,Alba / Scotland,633120
Bis,Glasgow,Alba / Scotland,633120
Falloch,Glasgow,Alba / Scotland,633120
Long Fin Killie,Glasgow,Alba / Scotland,633120
Admiral Fallow,Glasgow,Alba / Scotland,633120
Cerebral Bore,Glasgow,Alba / Scotland,633120
Sithu Aye,Glasgow,Alba / Scotland,633120
The Wake,Glasgow,Alba / Scotland,633120
Saor,Glasgow,Alba / Scotland,633120
Bleed from Within,Glasgow,Alba / Scotland,633120
Azriel,Glasgow,Alba / Scotland,633120
God Help The Girl,Glasgow,Alba / Scotland,633120
Man Must Die,Glasgow,Alba / Scotland,633120
The Vaselines,Glasgow,Alba / Scotland,633120
Primal Scream,Glasgow,Alba / Scotland,633120
Errors,Glasgow,Alba / Scotland,633120
Del Amitri,Glasgow,Alba / Scotland,633120
Belle and Sebastian,Glasgow,Alba / Scotland,633120
The Unwinding Hours,Glasgow,Alba / Scotland,633120
Twin Atlantic,Glasgow,Alba / Scotland,633120
Mogwai,Glasgow,Alba / Scotland,633120
Life Without Buildings,Glasgow,Alba / Scotland,633120
There Will Be Fireworks,Glasgow,Alba / Scotland,633120
Lloyd Cole and the Commotions,Glasgow,Alba / Scotland,633120
The Almighty,Glasgow,Alba / Scotland,633120
The Fratellis,Glasgow,Alba / Scotland,633120
